AITH (EAST BURRAFIRTH),,,,,,,,,,,,
Grid ref,HU354580,Long,-1.361267,Lat,60.304591,,,,,,,
Station no,5831/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,4.44,3.53,2.36,,
February,,,,,,,,1.80,1.40,4.48,,
March,,,,,,,,1.26,1.41,1.23,,
April,,,,,,,,1.75,3.13,2.92,,
May,,,,,,,,3.39,1.52,1.46,,
June,,,,,,,,0.51,2.88,2.10,,
July,,,,,,,,3.73,2.16,1.30,,
August,,,,,,,,3.58,2.61,1.27,,
September,,,,,,,,3.78,1.36,2.65,,
October,,,,,,,,4.29,4.22,2.75,,
November,,,,,,,,2.67,6.63,8.48,,
December,,,,,,,,5.49,6.73,4.56,,
Total,,,,,,,,36.69,37.58,35.56,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.69,37.58,35.56,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,,
