WIMPOLE-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL336510,Long,-0.0489,Lat,52.1418,Elevation,141,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1192/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2.34,0.58,0.69,2.21,1.59,1.09,2.44,1.37,1.05,0.9,1.36,1.42,3.74,1.8,1.2,3.11,1.14,1.43,2.46,2.91,2.04,2.05,1.75,1.15,2.47,1.12,1.49,1.77,2.64,1.55,1.91,1.29,0.92,1.1,0.84,1.6,3.37,2.68,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,3,0.72,1.1,0.69,2.41,1.39,1.7,1.17,1.36,0.33,2.18,1.01,1.23,0.64,1.39,1.81,3.63,0.54,0.52,2.81,0.36,0.39,1.49,2.15,0.64,2.11,2.59,2.66,1.11,0.51,0.67,2.14,0.32,1.34,0.44,1.81,1.85,2.96,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,0.6,2.43,0.8,2.4,1.29,2.19,1.57,0.95,2.48,2.84,0.77,1.82,2,2.01,4.12,1.58,4.12,1.43,0.69,2.16,1.27,1.07,1.43,1.71,0.89,1.12,0.18,1.77,1,0.09,1.9,0.19,1.29,2.07,1.3,0.59,0.79,3.2,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,2.4,0.36,1.56,0.76,1.46,0.78,2.35,3.72,1.48,3,0.99,0.13,2,0.65,0.83,1.45,1.7,3.54,2.26,4.05,1.21,2.58,1.16,2.43,1.33,2.74,1.49,0.72,1.63,2.61,4.58,2.49,1.24,1.61,2.04,1.46,2.74,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,1.04,1.24,2.68,1.92,1.54,1.44,1.27,3.4,1.95,1.51,2.77,1.55,1.94,2.06,1.29,1.81,2.3,2,1.71,0.2,1.12,0.6,0.98,0.83,3.89,1.99,2.7,0.56,2.14,2.04,2.75,2.27,3.68,1.93,0.63,0.87,0.68,3.56,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,2.65,1.37,2.39,4.2,0.91,3.16,3.88,1.83,1.34,3.8,1.26,2.32,3.69,2.16,2.39,0.34,1.83,2.06,0.25,1.24,1.16,0.37,0.78,0.68,1.87,0.21,1.95,2.15,2.17,1.42,2.05,1.57,0.42,1.09,1.1,1.08,3.45,2.65,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,1.46,1.09,1.32,4.69,4.02,0.68,0.74,1.7,4.66,3.57,1.92,0.14,1.7,1.85,3.34,3.74,1.44,5.58,2.58,2.49,2.67,0.12,3.89,2.88,2.77,1.9,2.39,2.28,2.34,2.3,4.34,3.58,2.79,0.84,0.73,0.23,7.08,1.69,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,3.39,1.59,2.82,3.05,1.85,2.54,0.78,2.43,2.15,1.6,1.71,0.9,6.41,1.11,1.65,3.11,2.81,4.09,0.68,2.07,0.6,0.6,1.8,2.94,2.29,2.16,0.79,2.47,1.67,0.95,2.12,2.55,2.67,1.4,2.36,1.17,0.45,2.09,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,0.38,1.03,1.01,2.06,1.25,1.91,0.94,0.87,1.28,1.85,1.07,1.32,1.62,2.19,1.01,1.18,0.56,1.73,6.3,0.84,1.92,1.29,2.21,1.92,1.77,1.93,2.19,3.39,0.49,0.1,5.21,2.49,1.99,2,1.12,3.63,2.92,2.2,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,1.85,1.15,1.04,4.56,0.98,1.38,3.09,2.42,1.27,4.05,2.17,2.01,2.15,3.34,1.94,1.11,2.18,3.18,1.21,0.68,0.54,0.95,0.39,3.59,3.69,3.37,1.93,1.26,2.04,2.97,0.99,0.51,3.45,1.59,1.42,1.96,1.76,2.15,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
