BANBRIDGE (KING GEORGE'S PLAYING FIELDS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ122457,Long,-6.275091,Lat,54.347771,Elevation,252,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,6207/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,2.42,5.17,4.52,,,,,,2.11,1.26,3,3.48,1,2.22,3.22,2.18,4.61,3.5,1.95,
February,,,,,,,,,,,3.32,2.22,1.17,,,,,,1.83,3.07,3.2,0.46,0.91,3.75,3.02,1.33,2.06,3.73,1.24,
March,,,,,,,,,,,4.07,2.5,0.77,,,,,,1.91,1.31,2.26,1.12,0.1,3.22,1.18,2,3.14,0.73,2.9,
April,,,,,,,,,,,1.95,1.87,1.95,,,,,,1.98,2.64,1.57,1.78,1.26,0.48,1.95,1.63,1.56,1.72,2.48,
May,,,,,,,,,,,2.43,3.27,3.62,,,,,,1.32,1.29,1.86,0.97,1.33,4.87,2.6,0.91,2.7,2.62,2.44,
June,,,,,,,,,,,0.48,0.19,3.55,,,,,,0.36,2.04,2.32,2.68,1.92,1.95,3.96,2.39,1.2,5.94,2.36,
July,,,,,,,,,,5.02,3.3,3.13,1.62,,,,,3.07,1.62,4.94,4,1.21,4.41,3.28,1.89,4.1,3.81,3.03,4.73,
August,,,,,,,,,,0.36,3.81,3.34,5.91,,,,,3.08,3.72,5.68,3.59,4.94,3.9,2.83,2.21,6.8,4.31,4.17,1,
September,,,,,,,,,,2.28,1.28,4.01,2.35,,,,,3.48,2.06,5.64,2.35,1.29,2.7,4.02,3.37,2.91,4.48,4.63,1.8,
October,,,,,,,,,,4.52,3.7,2.51,3.34,,,,,2.02,4.8,3.69,0.63,3.3,1.46,5.32,2.22,2.07,3.54,2.94,4.37,
November,,,,,,,,,,4.69,3.12,0.36,2.06,,,,,2.15,2.31,2.8,5.62,2.74,3.18,5.72,1.92,1.56,1.26,1.71,3.65,
December,,,,,,,,,,4.64,1.55,3.58,1.74,,,,,4.86,3.94,3.1,3.39,3.16,3.09,4.56,4.51,3.21,4.45,4.15,5.43,
Total,,,,,,,,,,,31.43,32.15,32.6,,,,,,27.96,37.46,33.79,27.13,25.26,42.22,32.05,31.09,37.12,38.87,34.35,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 arithmetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
