WALTON-ON-NAZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TM250220,Long,1.265567,Lat,51.851218,Elevation,35,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,1.48,2.81,2,3.38,1.43,,1.01,2.31,2.82,0.94,1.41,1.91,,,1.56,2.13,3.63,1.19,3.59,2.12,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,1.13,1.42,0.7,0.65,1.28,,,1.92,1.47,1.14,2.19,3.93,,,2.33,1.52,,2.05,2.31,0.1,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,2.44,2.72,2.11,0.31,0.18,0.95,,3.87,0.78,0.71,0.48,2.34,,,2.15,1.26,,0.95,1.15,0.78,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,0.98,0.93,0.79,0.7,1.65,0.69,0.83,0.98,1.84,1.08,1.28,1.76,,1.83,0.24,0.09,0.63,0.08,0.98,1.61,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,0.43,1.13,2.5,1.5,0.73,1.87,1.44,0.59,1,1.92,1.4,2.1,,1.59,1.35,2.4,0.98,1.26,2.74,0.28,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,0.37,0.46,1.35,0.98,0.94,1.37,2.39,2.09,1.63,0.38,0.94,,,1.88,1.66,1.93,1.96,1.11,3.43,0.83,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,1.18,2.66,1.5,1.8,1.59,2.13,2.43,3.72,1.51,1.26,0.57,1.56,,,3.23,2.09,0.19,2.55,3.28,2.58,1.39,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,2.87,0.16,4.24,0.81,1.55,1.38,2.21,3.84,0.19,2.08,0.83,1.66,,,1.28,4.14,1.64,3.99,1.02,2.48,1.36,3.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,0.52,0.85,0.23,1.49,1.99,2.51,0.96,,1.33,1.75,1.92,3,,,1.55,1,1.15,1.49,2.28,2.89,0.03,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,8.27,1.92,1.98,3.09,1.88,4,1.68,0.79,0.25,1.1,5.67,0.29,,,1.44,1.18,3.58,0.98,1.35,2.08,1.97,6.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
