"LOCH ALSH (NOSTIE)",,,,,,,,,,,,
Grid ref,NG857273,Long,-5.557488,Lat,57.285889,,,,,,,
Station no,5788/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.23,9.09,4.91,7.49,4.72,6.18,15.67,9.14,4.79,6.25,,
February,3.74,4.74,7.47,4.00,3.91,6.28,5.36,6.01,5.46,5.13,,
March,3.11,5.91,2.94,4.87,1.94,2.83,5.82,2.30,4.90,1.92,,
April,7.91,4.33,5.87,2.62,4.99,3.67,3.73,4.52,5.85,5.21,,
May,1.25,4.56,4.38,3.99,3.04,7.32,2.15,6.51,1.77,2.57,,
June,2.38,4.96,1.44,4.72,3.51,3.70,3.33,3.22,6.55,5.38,,
July,6.49,4.14,7.50,5.72,1.05,6.39,6.52,2.79,9.38,2.80,,
August,5.64,5.21,8.43,4.01,1.54,5.23,5.85,4.92,4.29,5.57,,
September,6.21,6.02,6.81,8.75,8.54,6.22,5.76,3.92,3.14,5.88,,
October,5.27,8.23,7.31,12.72,9.86,9.34,11.70,8.36,10.28,0.86,,
November,6.81,5.59,13.11,8.08,2.87,7.03,3.71,2.89,8.27,5.57,,
December,12.60,10.10,8.68,13.46,9.24,13.77,12.40,4.93,7.39,8.88,,
Total,69.64,72.88,78.85,80.43,55.21,77.96,82.00,59.51,72.07,56.02,,
Calc annual,69.64,72.88,78.85,80.43,55.21,77.96,82.00,59.51,72.07,56.02,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
