"LOCH ALSH (NOSTIE)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5788/4,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,,,,,6.22,10.08,5.99,5.88,13.75,6.50,,
February,,,,,9.72,7.18,0.26,6.53,10.17,9.45,,
March,,,,,7.31,3.77,1.19,7.02,3.76,4.95,,
April,,,,,3.45,5.84,12.61,5.40,8.19,7.25,,
May,,,,,3.92,1.02,1.73,1.76,3.49,1.77,,
June,,,,,6.38,6.72,5.65,4.01,2.51,7.33,,
July,,,,,4.49,9.50,3.97,4.72,4.27,5.54,,
August,,,,,3.00,6.30,0.07,6.43,8.47,6.07,,
September,,,,5.01,5.55,8.61,10.15,9.62,6.86,14.16,,
October,,,,9.85,5.28,1.11,5.19,9.64,9.59,8.31,,
November,,,,7.46,1.31,5.23,11.64,8.63,7.31,5.30,,
December,,,,8.03,4.92,5.40,3.37,7.02,15.23,6.52,,
Total,,,,,61.55,70.76,61.82,76.66,93.60,83.15,,
Calc annual,0.00,0.00,0.00,30.35,61.55,70.76,61.82,76.66,93.60,83.15,,
Difference,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,-0.00,0.00,,
