LOCH ALSH (NOSTIE),,,,,,,,,,,,,,,,,,,,
Grid ref,NG857273,Long,-5.557488,Lat,57.285889,Elevation,25,ft,,,,,,,,,,,,
Station no,5788/4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,6.22,10.08,5.99,5.88,13.75,6.5,8.23,9.09,4.91,7.49,4.72,6.18,15.67,9.14,4.79,6.25
February,,,,,9.72,7.18,0.26,6.53,10.17,9.45,3.74,4.74,7.47,4,3.91,6.28,5.36,6.01,5.46,5.13
March,,,,,7.31,3.77,1.19,7.02,3.76,4.95,3.11,5.91,2.94,4.87,1.94,2.83,5.82,2.3,4.9,1.92
April,,,,,3.45,5.84,12.61,5.4,8.19,7.25,7.91,4.33,5.87,2.62,4.99,3.67,3.73,4.52,5.85,5.21
May,,,,,3.92,1.02,1.73,1.76,3.49,1.77,1.25,4.56,4.38,3.99,3.04,7.32,2.15,6.51,1.77,2.57
June,,,,,6.38,6.72,5.65,4.01,2.51,7.33,2.38,4.96,1.44,4.72,3.51,3.7,3.33,3.22,6.55,5.38
July,,,,,4.49,9.5,3.97,4.72,4.27,5.54,6.49,4.14,7.5,5.72,1.05,6.39,6.52,2.79,9.38,2.8
August,,,,,3,6.3,0.07,6.43,8.47,6.07,5.64,5.21,8.43,4.01,1.54,5.23,5.85,4.92,4.29,5.57
September,,,,5.01,5.55,8.61,10.15,9.62,6.86,14.16,6.21,6.02,6.81,8.75,8.54,6.22,5.76,3.92,3.14,5.88
October,,,,9.85,5.28,1.11,5.19,9.64,9.59,8.31,5.27,8.23,7.31,12.72,9.86,9.34,11.7,8.36,10.28,0.86
November,,,,7.46,1.31,5.23,11.64,8.63,7.31,5.3,6.81,5.59,13.11,8.08,2.87,7.03,3.71,2.89,8.27,5.57
December,,,,8.03,4.92,5.4,3.37,7.02,15.23,6.52,12.6,10.1,8.68,13.46,9.24,13.77,12.4,4.93,7.39,8.88
Total,,,,,61.55,70.76,61.82,76.66,93.6,83.15,69.64,72.88,78.85,80.43,55.21,77.96,82,59.51,72.07,56.02
,,,,,,,,,,,,,,,,,,,,
1950 Np,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5788/4,,,,,,,,,,,,,,,,,,,
Midas,14099,,,,,,,,,,,,,,,,,,,
Hyd Stn,708438,,,,,,,,,,,,,,,,,,,
