ROTHBURY (WATERLEAP) WELL CLOSE 9/37,,,,,,,,,,,,,,,,,,,,
Grid ref,NU059018,Long,-1.9085982,Lat,55.310254,Elevation,250,ft,,,,,,,,,,,,
Station no,3590/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,4.69,3.52,2.76,6.34,2.79,4.37,4.35,,,,,,,,
February,,,,,,3.93,3.97,0.76,1.81,2.4,5.97,1.32,,,,,,,,
March,,,,,,2.54,4.04,0.95,3.05,2.86,2.82,1.19,,,,,,,,
April,,,,,,2.41,1.84,0.08,1.43,1.23,2.1,1.06,,,,,,,,
May,,,,,,1.17,3.49,2.25,1.37,1.03,1.73,1.9,,,,,,,,
June,,,,,2.67,2.7,1.66,2.49,2.29,1.22,0.48,1.96,,,,,,,,
July,,,,,0.57,3.36,2.4,2.61,3.38,6.77,2.31,4.94,,,,,,,,
August,,,,,2.82,1.47,2.98,2.66,1.84,0.99,2.57,2.81,,,,,,,,
September,,,,,3.51,3.79,3.19,2.01,1.96,2.17,0.75,2.74,,,,,,,,
October,,,,,3.77,1.41,2.82,5.04,6.66,3.4,4.27,2.53,,,,,,,,
November,,,,,4.43,4.15,1.52,3.27,3.23,4.23,3.38,0.4,,,,,,,,
December,,,,,2.27,1.61,5.01,4.36,1.84,3.33,0.85,1.84,,,,,,,,
Total,,,,,,33.23,36.44,29.24,35.2,32.42,31.6,27.04,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
gauge moved to Well Close from Waterleap (NU051016) 1937; 1/4mile east to NGR above,,,,,,,,,,,,,,,,,,,,
