AVONMOUTH-BRISTOL-DOCKS,,,,,,,,,,
Grid ref,ST509781,Long,-2.7087335,Lat,51.499693,Elevation,12,ft,,
Station no,RR8186,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,3.86,3.39,0.52,4.09,1.94,1.76,
February,,,,1.32,3.53,0.57,2.58,,1.73,
March,,,,4.19,1.28,3.53,2.03,1.09,2.95,
April,,,,2.67,1.58,2.47,0.9,3.26,2.82,
May,,,,4.25,2.59,0.07,2.09,2.18,1.46,
June,,,,3.07,1.09,3.8,2.28,3.59,0.84,
July,,,,2.7,3.7,0.69,0.86,2.41,2.02,
August,,,,3.74,2.51,3.6,1.58,2.27,3.56,
September,,,,3.4,1.55,1.15,0.74,0.66,4.04,
October,,,,7.79,0.84,1.68,5.22,5.76,2.53,
November,,,,1.46,1.68,2.51,2.81,3.23,1.47,
December,,,,2.55,2.39,0.86,1.25,5.78,2.48,
Total,,,,41,26.13,21.45,26.43,,27.66,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1907 Feb estimated,,,,,,,,,,
