HOYLAKE-THE-CHASE-EAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ209888,Long,-3.1908572,Lat,53.390089,Elevation,29,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,0.82,0.74,2.72,1.01,1.68,0.93,1.72,2.74,1.33,1.02,,2.73,3.33,1.64,1.77,,,,,,,
February,,,,,,,,,0.82,1.7,0.57,0.09,1.58,2.58,2.85,0.22,0.79,1.75,,1.33,3.04,1.06,1.9,,,,,,,
March,,,,,,,,,1.83,1.31,1.29,0.78,1.02,0.41,1.57,2.48,2.87,2.15,,0.79,0.81,1.42,1.41,,,,,,,
April,,,,,,,,,1.47,3.05,1.06,2.03,1.05,0.53,1.58,1.58,0.77,2.19,,2.27,0.86,1.3,1.89,,,,,,,
May,,,,,,,,,0.5,2.07,1.62,1.9,2.7,1.52,1.69,0.57,0.27,1.04,,2.35,1.39,0.82,3.11,,,,,,,
June,,,,,,,,,1.91,0.45,2.45,4.02,2.93,1.12,2.18,0.94,1.98,2.56,,2.12,2.15,1.48,1.61,,,,,,,
July,,,,,,,,,5.1,2.16,1.79,2.27,2.02,1.97,1.96,3.87,2.98,0.62,,2.02,0.72,1.73,1.77,,,,,,,
August,,,,,,,,,2.91,4.19,3.01,3.95,3,1.64,2.56,2,1.95,2.8,,1.7,4.68,2.27,2.23,,,,,,,
September,,,,,,,,,0.46,1.76,1.11,3.37,2.6,2.57,0.89,0.75,3.72,3.78,,3.28,0.25,0.99,0.56,,,,,,,
October,,,,,,,,,1.08,2.92,1.32,2.16,5.21,2.24,3.49,4.59,3.82,1.37,,2.61,3.68,2.16,3.26,,,,,,,
November,,,,,,,,,4.39,1.88,4.52,2.88,1.6,1.25,2.13,2.33,0.88,3.55,,0.82,2.93,3.35,1.55,,,,,,,
December,,,,,,,,,1.04,2.46,0.72,3.65,1.64,2.88,1.85,2.3,3.42,2.61,,2.84,2.25,2.91,2.45,,,,,,,
Total,,,,,,,,,22.33,24.69,22.18,28.11,27.03,19.64,24.47,24.37,24.78,25.44,,24.86,26.09,21.13,23.51,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is The Chase apparently at the end of Barton Close. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
