"CARDIFF WW (CANTREF RESERVOIR)",,,,,,,,,,,,
Grid ref,SN995155,Long,-3.459786,Lat,51.829045,,,,,,,
Station no,4155,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.93,8.08,2.53,4.21,5.34,9.68,10.78,8.33,9.06,10.25,,
February,7.56,1.84,3.77,7.22,3.08,0.90,8.17,11.84,0.87,8.85,,
March,7.49,6.09,6.95,5.74,4.35,4.16,9.46,2.20,7.36,3.40,,
April,6.95,5.11,4.61,2.36,4.18,1.87,0.62,2.16,7.67,6.60,,
May,3.50,5.79,4.29,4.48,6.96,2.55,3.53,7.07,1.80,2.13,,
June,2.17,5.06,2.27,6.74,8.17,4.38,1.41,4.52,3.27,4.02,,
July,1.99,3.05,9.98,7.04,1.63,7.12,7.32,5.96,8.20,9.17,,
August,10.09,9.44,6.02,8.41,1.95,8.12,5.79,7.22,1.64,5.74,,
September,6.74,4.29,7.30,10.20,3.79,7.25,11.87,11.83,0.58,6.36,,
October,1.92,6.40,4.34,16.76,4.08,3.53,7.90,8.49,8.32,9.56,,
November,12.98,5.05,7.51,13.95,5.61,2.68,3.95,4.19,10.43,17.83,,
December,9.01,7.86,2.21,8.48,11.30,8.97,8.66,7.40,17.73,11.04,,
Total,80.33,68.06,61.78,95.59,60.44,61.21,79.46,81.21,76.93,94.95,,
Calc annual,80.33,68.06,61.78,95.59,60.44,61.21,79.46,81.21,76.93,94.95,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
