TERRINGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF550199,Long,0.2953,Lat,52.7549,Elevation,18,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,1.73,2.87,2.01,1.13,0.03,0.71,1.62,1.73,1.7,2.51,2.31,1.82,1.09,0.74,2.34,2.11,0.79,1.74,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,2.39,2.62,1.38,2.47,2.14,2.82,1.56,2.91,0.6,2.42,0.18,0.63,1.41,1.61,0.84,0.04,1.85,2.02,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,2.41,1.58,0.62,0.7,0.97,1.82,1.49,1.54,0.75,0.7,2.05,1.17,2.46,1.36,2.34,0.92,0.86,0.22,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,4.38,3.19,1.2,2.28,2.42,1.41,2.59,1.24,1.32,1.1,1.75,1.4,1.6,2.16,0.46,0.88,1.49,0.17,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,1.1,1.43,3.96,4.2,1.27,0.55,0.82,1.09,1.16,2.53,2.22,1.68,0.85,4.38,2.1,2.98,1.62,0.84,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,3.3,1.19,2.04,4.11,3.64,4.13,2.94,5.4,1.47,1.91,0.89,0.2,1.67,2.03,2.88,1.28,2.71,1.04,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,2.39,3.08,1.46,4.89,5.08,1.45,2.03,4.86,2.95,0.82,4.01,1.19,4.66,2.61,3.07,1.63,3.12,3.58,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,2.45,2.7,7.39,1.04,2.3,3.31,3.58,1.02,2.34,1.01,2.34,1.83,2.72,3.43,1.29,3.13,2.04,1.52,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,3.6,1.44,1.55,4.39,4.76,2.58,2.35,6.46,2.11,4.07,1.37,2.61,2.45,2.27,0.41,0.89,2.02,1.57,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,0.54,1.43,2.27,1,4.76,2.52,5.12,2.01,1.84,4.59,3.6,2.47,0.26,3.13,0.82,4.67,4.94,2.17,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,2.38,2.53,5.44,1.37,3.05,2.12,3.36,3.39,2.33,2.75,2.17,1.48,2.26,1.21,2.71,2.13,1.57,3.38,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,3.47,1.74,1.41,0.63,2.26,2.43,3.39,1.58,2.16,1.12,3.52,0.9,1.5,1.44,0.45,3.21,1.02,1.44,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,30.14,25.8,30.73,28.21,32.68,25.85,30.85,33.23,20.73,25.53,26.41,17.38,22.93,26.37,19.71,23.87,24.03,19.69,25.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
