"HINDOLVESTON (SCHOOL HOUSE)",,,,,,,,,,,,
Grid ref,TG038293,Long,1.023259,Lat,52.822685,,,,,,,
Station no,1435,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.59,3.15,,,,,,,,,,
February,2.91,1.18,,,,,,,,,,
March,3.44,2.33,,,,,,,,,,
April,3.58,1.96,,,,,,,,,,
May,2.52,1.86,,,,,,,,,,
June,1.39,0.67,,,,,,,,,,
July,-999.00,1.85,,,,,,,,,,
August,3.10,2.05,,,,,,,,,,
September,1.86,3.72,,,,,,,,,,
October,1.30,3.31,,,,,,,,,,
November,2.95,4.86,,,,,,,,,,
December,1.28,2.69,,,,,,,,,,
Total,28.68,29.63,,,,,,,,,,
Calc annual,26.92,29.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,1.76,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
