"WOODHALL SPA (WATERWORKS)",,,,,,,,,,,,
Grid ref,TF223617,Long,-0.173198,Lat,53.138427,,,,,,,
Station no,2552/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.80,1.57,1.11,1.12,-999.00,4.62,1.09,2.24,2.77,4.26,,
February,3.04,0.45,1.79,2.52,2.68,1.04,2.07,3.05,0.24,2.04,,
March,3.10,3.08,0.75,1.91,1.83,0.85,1.47,1.68,2.37,1.05,,
April,2.03,1.11,2.93,0.44,0.95,1.01,0.11,0.52,1.57,0.85,,
May,2.94,1.42,2.79,2.79,3.03,0.57,1.78,2.15,0.30,0.66,,
June,1.13,1.73,3.03,1.66,2.85,2.63,2.33,4.05,0.68,0.48,,
July,0.63,0.35,1.36,1.72,0.40,3.13,3.49,4.20,2.47,3.62,,
August,3.95,2.48,2.41,4.62,0.90,3.37,2.75,3.20,1.12,3.74,,
September,1.02,2.07,0.75,1.35,1.37,1.61,3.77,2.32,0.09,2.60,,
October,1.47,2.83,2.50,2.83,0.74,1.08,1.58,2.83,1.66,6.88,,
November,4.35,2.50,1.72,4.03,1.10,0.85,1.68,0.97,2.11,3.46,,
December,1.20,1.77,0.79,2.04,1.90,1.30,1.62,3.10,3.35,3.33,,
Total,27.66,21.36,21.93,27.03,19.34,22.06,23.74,30.31,18.73,32.97,,
Calc annual,27.66,21.36,21.93,27.03,17.75,22.06,23.74,30.31,18.73,32.97,,
Difference,0.00,0.00,0.00,0.00,1.59,0.00,-0.00,-0.00,0.00,-0.00,,
