WOODHALL SPA WATER WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF223617,Long,-0.173,Lat,53.138,Elevation,45,ft,,,,,,,,,,,,,,,,,,,
Station no,2552/5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.16,3.09,3.06,1.99,4.15,1.88,1.73,2.65,5.08,2.41,2.04,1.68,2.12,4.10,1.22,0.94,2.80,1.57,1.11,1.12,1.59,4.62,1.09,2.24,2.77,4.26
February,,1.57,1.61,2.33,1.13,0.54,2.23,2.90,1.21,0.51,1.89,1.86,1.85,0.85,1.00,0.68,3.54,3.04,0.45,1.79,2.52,2.68,1.04,2.07,3.05,0.24,2.04
March,,0.29,1.15,1.99,0.04,2.31,1.56,2.68,1.02,0.34,0.32,0.75,0.97,3.96,0.43,1.05,0.64,3.10,3.08,0.75,1.91,1.83,0.85,1.47,1.68,2.37,1.05
April,,2.74,1.70,2.40,0.10,1.09,1.13,0.54,0.56,0.93,2.16,1.58,1.42,1.59,1.10,1.58,2.28,2.03,1.11,2.93,0.44,0.95,1.01,0.11,0.52,1.57,0.85
May,,0.24,0.57,3.63,2.09,1.15,0.93,2.10,2.78,2.54,1.70,1.26,1.19,0.20,1.66,1.96,2.44,2.94,1.42,2.79,2.79,3.03,0.57,1.78,2.15,0.30,0.66
June,,1.63,3.12,1.46,1.01,2.09,1.03,0.31,1.16,1.34,1.68,2.64,2.69,2.84,3.05,0.82,1.61,1.13,1.73,3.03,1.66,2.85,2.63,2.33,4.05,0.68,0.48
July,,0.36,6.05,2.67,3.16,2.71,6.09,5.36,2.56,0.67,1.80,1.65,2.74,1.41,1.39,2.69,2.19,0.63,0.35,1.36,1.72,0.40,3.13,3.49,4.20,2.47,3.62
August,,1.69,0.91,1.07,2.30,1.99,0.85,3.31,1.94,2.48,2.72,1.96,3.71,0.00,2.62,0.81,2.67,3.95,2.48,2.41,4.62,0.90,3.37,2.75,3.20,1.12,3.74
September,1.08,3.64,1.55,1.40,1.56,1.79,0.56,0.56,1.43,2.30,2.61,1.92,3.02,1.45,3.09,0.76,4.44,1.02,2.07,0.75,1.35,1.37,1.61,3.77,2.32,0.09,2.60
October,0.87,2.77,1.90,1.67,2.76,3.70,2.10,2.73,2.25,1.11,2.68,2.45,1.72,0.34,1.76,3.88,0.82,1.47,2.83,2.50,2.83,0.74,1.08,1.58,2.83,1.66,6.88
November,1.59,3.50,2.18,1.58,1.95,3.94,4.41,2.64,2.45,2.39,3.82,0.68,4.33,1.27,1.00,2.67,4.18,4.35,2.50,1.72,4.03,1.10,0.85,1.68,0.97,2.11,3.46
December,3.75,2.06,1.38,2.13,4.34,2.30,1.65,0.49,1.48,0.70,1.26,2.44,2.66,2.40,3.20,1.74,1.64,1.20,1.77,0.79,2.04,1.90,1.30,1.62,3.10,3.35,3.33
Total,,22.65,25.21,25.39,22.43,27.76,24.42,25.35,21.49,20.39,25.05,21.23,27.98,18.43,24.40,19.86,27.39,27.66,21.36,21.93,27.03,19.34,22.06,23.74,30.31,18.73,32.97
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/132,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/216,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/214,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station is still active according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,,,
