NORTHLEIGH-RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,SY197964,Long,-3.13892,Lat,50.76181,Elevation,335,ft,,,,,,,,,,,,
Station no,RR8539,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,1.08,1.84,5.24,1.7,5.33,9.27,1.07,4.19,,,,
February,,,,,,,,,2.33,0.51,6.03,1.84,4.66,1.16,5.03,8.01,,,,
March,,,,,,,,,4.02,6.75,1.21,3.19,7.2,4.58,6.6,0.78,,,,
April,,,,,,,,,2.76,2.53,2.89,2.76,0.3,5.08,1.76,1.2,,,,
May,,,,,,,,,2.81,1.66,2.91,1.49,2.04,3.85,2.25,2.05,,,,
June,,,,,,,,,0.46,3.24,4.05,1.87,5.57,1.02,1.64,1.85,,,,
July,,,,,,,,,1.79,4.24,3.33,0.29,3.6,0.18,5.95,5.54,,,,
August,,,,,,,,,4.62,3.18,5.58,0.76,7.99,1.17,4.12,2.54,,,,
September,,,,,,,,,4.15,2.43,0.46,1.78,1.34,2.9,3.25,1.28,,,,
October,,,,,,,,,3.42,8.32,5.02,4.99,5.72,4.13,4.68,8.39,,,,
November,,,,,,,,,1.4,1.99,6.21,5.08,1.82,4.74,4.92,3.13,,,,
December,,,,,,,,,4.21,7.26,8.29,11.51,5.46,2.46,9.75,9.12,,,,
Total,,,,,,,,,33.05,43.95,51.22,37.26,51.03,40.54,51.02,48.08,,,,
