HONITON NORTHLEIGH RECTORY,,,,,,,,,,,,
Grid ref,SY197964,Long,-3.139894,Lat,50.761614,,,,,,,
Station no,RR8539,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.08,1.84,,
February,,,,,,,,,2.33,0.51,,
March,,,,,,,,,4.02,6.75,,
April,,,,,,,,,2.76,2.53,,
May,,,,,,,,,2.81,1.66,,
June,,,,,,,,,0.46,3.24,,
July,,,,,,,,,1.79,4.24,,
August,,,,,,,,,4.62,3.18,,
September,,,,,,,,,4.15,2.43,,
October,,,,,,,,,3.42,8.32,,
November,,,,,,,,,1.40,1.99,,
December,,,,,,,,,4.21,7.26,,
Total,,,,,,,,,33.05,43.95,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.05,43.95,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,,
