MOUNTAIN ASH MAESYDDERWEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST047997,Long,-3.3793,Lat,51.688,Elevation,483,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,6.04,2.33,2.29,12.19,6.96,3.05,3.79,8.71,6.55,1.69,3.29,1.8,11.41,7,3.88,4.19,8.32,10.17,1.5,9.84,3.27,3.29,2.49,8.16,1.95,7.58,10.13,3.64,5.17,5.24,1.51,6.45,8.62,9.31,7.54,5.9,3.02,8.01,7.2,9.76,6.5,,,12.5,5.18,13.07,5.96,8.21,1.36,8.49,10.43,10.67,,4.82,4.51,7.75,14.42,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,2.21,0.7,2.19,1.56,0.05,2.74,9.86,5.28,0.03,1.15,4.42,2.24,6.75,10.59,2.2,2.94,4.76,8.12,1.52,4.83,2.84,2.71,0.85,8.35,5.55,5.8,4.21,11.12,11.67,8.34,1.27,4.65,5.23,2.3,0.14,7.78,12.64,0.54,10.51,5.34,4.82,,,0.74,4.67,0.09,5.41,0.69,7.53,2.79,9.43,2.58,,6.68,7.19,0.58,4.64,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,2.9,6.62,4.44,2.78,2.55,1.47,0.55,6.13,5.29,6.31,7.83,1.29,2.97,1.44,4.67,3.19,10.26,2.67,8.53,3.37,2.77,5.43,5.8,2.55,2.25,11.07,10.35,9.22,1.22,3.37,3.83,3.23,7.16,7.29,7.16,6.98,2.33,2.97,0.91,0.93,5.74,,,3.2,0.99,3.89,5.6,4.96,1.24,5.06,3.93,0.28,,5.71,4.6,5.67,1.21,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,2.08,1.85,3.95,1.57,4.38,1.24,0.2,3.37,4.27,0.82,5.68,3.39,5.64,2.47,6.7,2.88,2.08,3.07,5.13,1.32,4.24,3.48,4.34,3.87,3.09,0.46,10.3,2.79,1.69,2.37,2.54,2.41,2.05,9.56,1.37,4.15,3.52,5.57,2.98,3.26,1.92,,,3.75,4.06,4.97,2.17,3.29,7.84,3.35,4.17,0.14,,5,1.17,3.98,1.68,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,2.77,3.52,4.48,3.21,5.43,2.14,5.13,4.37,1.02,0.12,2.44,4.6,3.92,3.78,1.8,2.29,4.84,3.06,0.36,4.69,4.17,3.66,2.18,2.67,2.59,1.72,3.63,2.76,3.08,3.79,3.83,1.92,0.84,4.31,2.67,1.23,2.46,5.84,6.6,2.82,1.79,,,2.44,5.21,7,1.9,2.32,1.13,1.77,2.31,6.1,,1.56,3.63,10.98,7.39,4.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,0.84,4.07,0.37,3.49,3.13,3.44,1.69,3.46,0.97,1.8,3.08,2.65,1.67,3.38,2.92,3.23,1.81,2.12,4.89,2.77,5.32,1.11,3.52,6.05,3.28,6.38,2.16,2.1,1.91,3.27,2.54,2.79,1.92,2.96,1.16,1.06,0.73,2.53,0,2.23,3.69,,,1.69,5.58,2.75,3.09,1.73,6.32,4.88,1.67,4.29,,0.6,2.23,0.27,4.46,4.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,2.61,9.14,5.41,3.56,2.67,3.22,3.76,4.95,7.22,2.93,3.03,0.83,0.8,3.85,1.6,2.1,2.74,4.67,1.44,0.96,4.1,3.97,2.69,4.21,0.4,5.64,0.54,6.72,5.89,1.62,3.67,6.43,1.17,6.64,2.31,6.45,2.55,8.22,2.88,2.61,6.44,,,4.53,5.73,4.17,4.56,1.53,1.01,9.51,3.6,5.34,,6.05,3.35,4.43,3.75,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,2.69,4.9,4.59,4.79,10.93,6.59,4.53,3.87,6.07,2.6,8.45,5.26,1.47,6.11,4.19,2.99,7.67,3.35,6.84,4.06,4.46,7.23,2,7.99,4.21,11.14,2.12,4.62,2.53,4.61,12.59,2.78,3.23,2.72,4.94,4.02,4.99,6.15,6.27,4.22,6.74,,,6.6,6.13,0.93,1.47,5.15,2.37,0.96,0.68,5.63,,0.28,6.66,7.02,5.65,5.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,5.8,0.87,1.99,2.42,3.81,4.98,3.67,2.35,1.88,10.55,5.61,2.54,4.59,2.89,4.12,3.49,5.6,3.56,4.28,1.47,1.2,3.86,4.4,0.3,4.21,1.25,3.05,2.67,0.82,2.84,3.63,12.62,2,4.49,2.75,3.64,5.63,9.29,4.25,1.21,5.39,,,6.66,2.47,5.46,2.82,4.82,9.54,3.6,2.55,2.82,,2.54,1.04,5.34,5.54,6.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,9.11,2.9,3.84,5.89,1.96,13.51,5.08,5.16,9.28,4.22,6.75,3.41,8.1,3.58,8.03,3.21,4.88,15.91,1.99,3.12,10.36,8.52,5.54,12.21,5.08,5.13,7.46,5.57,3.73,4.31,13.11,8.05,4.21,2.06,5.26,2.66,2.22,11.12,7.89,9.14,5.35,4.57,,,9.08,1.06,10.45,8.56,5.64,6.92,2.87,3.98,11.34,,10.48,4.79,4.35,6.06,9.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
