"FERRYHILL, WINTERTON DURHAM CO. MENTAL HOS.",,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ355302,Long,-1.4511389,Lat,54.665636,Elevation,360,ft,,,,,,,,,,,,,
Station no,RR2460,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,1.74,,2.99,1.16,3.02,3.46,3.97,2.4,1.3,1.42,,,,,,,
February,,,,,1.26,,2.19,0.82,1.16,1.16,1.95,1.32,1.29,2.96,,,,,,,
March,,,,,1.11,,0.84,2.58,3.1,0.2,2.93,1.58,2.56,1.22,,,,,,,
April,,,,,1.78,,1.07,1.37,1.18,1.3,2.68,3.58,1.11,0.79,,,,,,,
May,,,,,5.53,,1.8,1.61,1.4,1.45,1.41,2.61,4.42,2.05,,,,,,,
June,,,,,1.96,,3.49,2.64,4.28,1.76,1.28,3.76,1.47,1.26,,,,,,,
July,,,,,3.92,,2.78,4.39,1.32,2.16,5.67,5.32,3.5,,,,,,,,
August,,,,,2.55,,2.64,6.3,3.61,1.97,4.05,3.04,3.01,,,,,,,,
September,,,,,2.26,,1.65,3.36,0.54,1.12,4.02,4.23,2.05,,,,,,,,
October,,,,,3.04,,2.41,1.68,3.55,2.05,2.19,1.06,3.71,,,,,,,,
November,,,,,0.99,,3.51,2.95,2.56,2.5,3.7,2.43,1.16,,,,,,,,
December,,,,,2.36,,1.39,3.42,1.82,2.64,2.56,1.05,0.81,,,,,,,,
Total,,,,,28.5,,26.76,32.28,27.54,21.77,36.41,32.38,26.39,,,,,,,,
