"SEDGEFIELD, DURHAM",,,,,,,,,,,,,,,,,,,,
Grid ref,NZ355302,Long,-1.4511389,Lat,54.665636,Elevation,360,ft,,,,,,,,,,,,
Station no,RR2460,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,0.46,1.42,1.82,3.91,2.31,1.44,1.23,0.98,2.48,1.15,1.45,2.52,0.63,3.64,1.7,
February,,,,,1.58,1.25,1.81,0.92,1.11,2.08,1.23,1.54,2.25,1.1,1.06,1.26,2.34,1.41,0.93,
March,,,,,2.82,1.88,2.46,2.42,1.33,1.69,1.41,0.66,3.28,1.98,0.97,0.64,2.33,,0.72,
April,,,,,1.77,1.06,2.61,2.37,3.1,1.55,0.41,3.07,3.59,1.42,1.12,0.83,2.85,4.35,1.99,
May,,,,,1.63,3.55,1.22,2.27,1.17,3.35,1.28,1.74,2.14,2.35,2.27,1.11,1.36,2.42,3.02,
June,,,,,2.2,0.78,2.23,1.39,0.4,1,1.73,3.48,2.36,1.96,1.18,1.86,2.1,1.47,3.14,
July,,,,,1.01,1.68,5.07,3.01,0.8,1.72,0.66,4.62,3.7,2.68,0.97,3.71,2.49,,0.14,
August,,,,,1.33,3.27,3.26,2.7,2.57,2.55,2.62,0.67,3.44,2.09,1.79,2.54,2.08,5.61,6.11,
September,,,,,1.58,0.3,4.73,2.01,4.32,3.68,0.85,5.46,4.29,1.17,2.72,2.04,3.2,2.28,1.44,
October,,,,,5.76,6.03,1.65,1.45,2.07,2.84,4.63,2.78,3.95,1.82,1.71,4.59,1.89,2.75,1.39,
November,,,,,1.9,2.67,1.83,0.89,2.11,2.13,2.43,1.86,4.55,1.76,2.12,6.73,2.98,1.94,7.39,
December,,,,,2.28,1.68,2,2.17,5.55,3.11,4.92,1.54,3.31,0.19,5.04,1.48,6.9,1.49,4.83,
Total,,,,,24.32,25.57,30.69,25.51,26.84,27.14,23.4,28.4,39.34,19.67,22.4,29.31,31.15,,32.8,
,,,,,,,,,,,,,,,,,,,,
1866 Apr ,,,,,,,,,,,,,,,,,,,,
1870 incorrect arithmetic on record - total fixed,,,,,,,,,,,,,,,,,,,,
1876 total not added on record - added manually,,,,,,,,,,,,,,,,,,,,
1877 incomplete year,,,,,,,,,,,,,,,,,,,,
