DURHAM COUNTY ASYLUM SEDGEFIELD,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ355302,Long,-1.4511389,Lat,54.665636,Elevation,360,ft,,,,,,,,,,,,
Station no,RR2460,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,1.58,,,,,1.5,2.53,0.62,3.54,,
February,,,,,,,,,,2.21,,,,,1.02,1.14,2.29,1.43,,
March,,,,,,,,,,1.95,,,,,0.97,0.58,,2.86,,
April,,,,,,,,,,1.62,,,,,1.13,0.85,2.76,4.17,,
May,,,,,,,,,,3.74,,,,,2.33,1.1,1.47,2.45,,
June,,,,,,,,,,1.17,,,,,1.26,1.98,2.84,1.4,,
July,,,,,,,,,,1.72,,,,,1.05,2.9,2.42,3.18,,
August,,,,,,,,,,2.63,,,,,1.49,2.48,2.17,5.52,,
September,,,,,,,,,,3.81,,,,,3.11,2.11,3.9,2.24,,
October,,,,,,,,,,2.96,,,,,2.02,5.51,2.04,2.92,,
November,,,,,,,,,,2.25,,,,,2.32,7.03,2.94,1.92,,
December,,,,,,,,,,3.24,,,,,5.08,1.33,6.91,1.57,,
Total,,,,,,,,,,28.88,,,,,23.28,29.54,,33.2,,
