"CHESTERFIELD (UPPER LINACRE FILTERS)",,,,,,,,,,,,
Grid ref,SK339727,Long,-1.493392,Lat,53.250238,,,,,,,
Station no,2717/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.85,3.56,0.98,3.18,2.87,5.90,2.06,3.65,3.22,4.90,,
February,4.15,0.74,2.03,3.14,2.66,1.32,3.12,4.67,0.09,3.29,,
March,4.69,2.07,1.93,2.76,3.11,1.12,2.28,2.55,1.81,2.22,,
April,1.58,1.76,2.93,0.38,0.99,2.31,0.15,1.13,3.96,1.64,,
May,3.66,2.68,2.38,3.12,3.45,0.60,1.56,2.74,1.54,1.68,,
June,0.98,1.99,2.21,3.20,3.39,3.60,1.23,5.59,1.25,1.25,,
July,1.48,2.16,2.99,2.59,1.01,4.85,4.48,5.51,1.80,4.01,,
August,4.73,2.13,3.20,4.95,0.85,6.35,4.43,2.45,1.05,5.19,,
September,2.62,2.74,2.00,3.08,1.07,3.51,6.36,3.49,0.08,4.30,,
October,0.95,4.01,2.52,3.59,2.47,2.11,1.84,2.85,2.28,6.95,,
November,8.60,1.97,1.52,6.70,3.09,0.95,2.82,0.91,4.39,4.68,,
December,3.38,2.93,1.37,4.18,3.56,4.69,3.04,4.39,5.41,3.54,,
Total,39.67,28.74,26.06,40.87,28.52,37.31,33.37,39.93,26.88,43.65,,
Calc annual,39.67,28.74,26.06,40.87,28.52,37.31,33.37,39.93,26.88,43.65,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,-0.00,,
