CHESTERFIELD-UPPER-LINACRE-NEW-POSITION,,,,,,,,,,
Grid ref,SK327725,Long,-1.511396,Lat,53.248515,Elevation,600,ft.,,
Station no,2717/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,0.77,2.85,2.73,5.21,1.9,-999,2.23,4.58
February,,,1.75,3.32,2.78,1.35,2.89,-999,0.09,3.17
March,,1.92,1.68,2.7,2.94,1.14,2.16,2.09,1.9,2.21
April,,1.69,2.78,0.44,0.91,1.93,0.14,1.09,2.95,1.46
May,,2.28,2.35,2.92,2.81,0.61,1.3,2.57,1.2,1.59
June,,1.79,2.03,2.97,2.79,3.42,1.16,4.89,1.15,1.14
July,,1.83,2.66,2.7,1.05,4.6,4.04,5.31,1.2,4.09
August,,1.87,2.69,3.91,0.91,6.11,4.62,3.37,0.87,4.91
September,,2.22,1.98,3.02,1.04,3.88,5.5,3.32,0.09,4.4
October,,3.42,2.17,3.76,2.21,1.45,1.67,2.14,1.86,5.1
November,,1.67,1.43,6.11,3.12,0.87,2.4,0.77,3.87,4.46
December,,2.72,1.15,3.41,3.41,4.42,2.52,3.83,4.66,3.19
Total,,,23.44,38.11,26.7,34.99,30.3,37.95,22.07,40.3
,,,,,,,,,,
MIDAS scr_id 2833 UPPER LINACRE RESR Start 1926 end 1962,,,,,,,,,,
NGR is from 1950s record. Altitudes match. Gauge moved 450 ft to yard 1 Mar 1952,,,,,,,,,,
