UFFCULME-BULLMOOR,,,,,,,,,,,,,,,,,,,,
Grid ref,ST065117,Long,-3.33064,Lat,50.89721,Elevation,280,ft,,,,,,,,,,,,
Station no,RR6408,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,1.53,4,4.28,1.32,5.9,1.3,1.3,1.73,4.51,1.34,5.15,7.18,0.81,4.39,1.64,1.09,,
February,,,2.2,1.6,6.2,1.22,3.59,2.01,2.2,0.41,5.07,2.28,4.12,1.03,4.15,6.52,7.66,1.5,,
March,,,2,3.55,2.98,5,1.89,0.87,3.53,4.89,0.99,2.8,7.5,4.71,6.6,0.96,3.73,3.67,,
April,,,1.49,2.54,1.32,2.91,0.97,5.04,2.36,2.42,2.31,2.28,0.2,4.93,1.93,1.16,0.99,1.46,,
May,,,2.08,4.32,2.61,0.36,2.8,2.8,2.09,1.35,3.37,1.17,1.8,3.6,1.84,1.78,2.84,2.18,,
June,,3.04,2.66,2.81,1.47,3.54,2.12,2.46,0.52,2.46,2.42,2.1,4.83,0.95,2.38,1.59,2.59,4.23,,
July,,2.13,2.21,2.58,5.6,0.39,0.64,1.8,1.5,2.79,2.84,0.26,2.47,0.42,4.62,4.28,1.37,2.53,,
August,,1.8,2.89,3.1,2.37,4.64,1.94,2.12,3.08,1.97,5.07,2.33,6.91,1.47,3.89,3.07,5.71,4.76,,
September,,2.86,2.27,3.16,2.22,1.8,1.02,0.66,3.15,2.3,0.34,1.62,1.32,1.96,1.85,0.98,2.08,1.99,,
October,,2.51,2.5,7.42,1.73,2.61,5.03,7.43,3.29,6.98,6.84,4.65,5.4,5.13,4.3,5.29,6.52,4.95,,
November,,0.73,5.3,2.3,2.56,3.56,4.57,3.59,1.39,1.42,5.17,3.83,1.87,4.05,3.77,2.81,5.64,,,
December,,6.76,2.98,4.37,3.12,1.03,2.3,5.68,3.74,5.18,8.07,10.34,5.33,2.35,8.8,8.3,4.27,,,
Total,,,30.11,41.75,36.46,28.38,32.77,35.76,28.15,33.9,47,35,46.9,37.78,44.94,41.13,45.04,,,
,,,,,,,,,,,,,,,,,,,,
1901 May Gauge moved from White Lackington,,,,,,,,,,,,,,,,,,,,
First observer was a Rev Second his unmarried daughter,,,,,,,,,,,,,,,,,,,,
Therefore taken to be the Cottages not the Farm but only 200yds separate them,,,,,,,,,,,,,,,,,,,,
