"BLACKBURN STORE YARD",,,,,,,,,,,,
Grid ref,SD680273,Long,-2.486641,Lat,53.741091,,,,,,,
Station no,RR1508,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.53,2.18,3.34,3.49,3.52,1.75,4.86,1.49,2.77,2.14,,
February,2.90,1.70,1.60,3.10,3.74,2.72,2.14,1.80,2.03,1.49,,
March,0.18,3.21,2.60,4.77,2.43,2.23,2.51,2.67,2.50,2.09,,
April,2.05,2.12,2.57,2.08,2.69,2.89,1.39,2.05,1.67,3.49,,
May,1.26,0.79,3.05,2.89,2.60,0.48,3.62,3.46,2.71,2.76,,
June,1.81,1.86,1.24,1.39,1.77,1.50,1.26,5.48,1.42,2.55,,
July,1.97,1.79,3.28,3.07,1.65,1.39,1.89,2.78,3.00,5.39,,
August,4.58,1.69,2.87,4.68,4.12,2.78,3.50,3.85,3.23,2.49,,
September,2.04,0.98,1.54,4.95,1.58,2.45,1.01,0.96,2.89,1.93,,
October,6.70,3.51,3.76,8.65,1.90,4.02,5.08,2.52,1.18,4.77,,
November,2.99,5.57,2.08,3.08,2.87,5.06,3.65,1.96,2.56,1.20,,
December,4.04,4.44,3.55,2.61,2.23,1.08,3.36,3.90,1.92,5.18,,
Total,36.05,29.84,31.48,44.76,31.10,28.35,34.27,32.92,27.88,35.48,,
Calc annual,36.05,29.84,31.48,44.76,31.10,28.35,34.27,32.92,27.88,35.48,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
