STONY-STRATFORD-CALVERTON-RECTORY,,,,,,,,,,
Grid ref,SP790389,Long,-0.849571,Lat,52.042878,Elevation,250,ft,,
Station no,1023/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4,,2.83,3.86,2.22
February,,,,,,0.2,,2.88,0.04,2.28
March,,,,,,0.69,,1.87,3.44,1.16
April,,,,,,0.8,,1.03,1.95,0.73
May,,,,,,0.43,,1.97,0.77,2.19
June,,,,,,2.59,1.77,5.62,1.01,3.75
July,,,,,,4.98,3.1,2.23,2.6,3.38
August,,,,,,,,1.69,1,3.99
September,,,,,,,,2.47,0.31,3.88
October,,,,,,,2.05,2.76,2.29,4.9
November,,,,,,,1.56,2.06,1.54,3.72
December,,,,,,,2.72,2.69,3.02,3.25
Total,,,,,,,,30.1,21.83,35.45
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1957 Aug Sep estimated,,,,,,,,,,
