LOCH LEVEN SLUICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT171993,Long,-3.337019,Lat,56.179997,Elevation,360,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,
January,3.7,2.7,5.7,5.1,3.1,2.8,3.3,4,4.8,5.4,2.8,2.3,4.8,4.3,3.4,5.5,3,6.5,3.2,2.4,2.3,0.7,3.1,4.2,5.6,2.6,5.1,1.7,1.9,1.8,5.7,2.7,2,1.5,6.2,2.7,1.7,1.9,1.9,6.2,5.1,1.92,2.03,7.2,2.71,1.4,4.47,2.44,4.46,3.7,3.52,1.47,2.31,3.39,3.17,1.93,4.79,1.91,2.66,3.5,4.38,4.8,3.7,2.4,3.16,3.56,5.11,3.19,7.15,1.2,3.59,1.88,3.09,3.43,3.67,0.72,4.85,3.77,6.11,4.91,1.33,2.9,3.5,4.41,2.6,2.57,,,,,,,,,
February,1.5,3.2,1.3,1.6,3.5,2.7,4.3,1.8,3.3,4.2,2.2,4.4,5,1.2,1.1,1.9,4.9,2.7,1.6,4.6,2.5,5.6,3.9,2.4,1.8,4.3,1.5,2.9,0.7,1.9,1.1,0.7,2.3,4.3,9.2,1,1.3,2.4,2,2.8,4,1.55,1.24,6.96,2.92,1.22,2.11,2.4,1.94,1.23,3.51,4.67,2.54,1.93,3.34,5.17,3.85,0.54,4.39,1.86,3.36,0.33,2.92,4.61,1.17,4.05,5.08,1.79,3.24,2.05,1.12,1.7,0.11,2.9,0.09,2.42,3.46,3.95,0.95,3.76,1.65,5.19,1.51,1.95,0.91,4.37,,,,,,,,,
March,3.4,2.8,4,1.7,4,1,3.6,1.3,3,0.8,0.5,1.8,3.3,1.9,2.4,1.9,3,1.8,1,3.6,2.5,5.1,3.5,1.2,2.6,2.9,3.7,1.9,4.9,1.4,2.4,3.4,0.6,1,3.4,3.6,2.9,5.5,1.4,3.3,1.1,2.3,1.55,6.56,2.13,4.29,2.68,3.18,4.13,3.1,1.74,2.09,3.81,5.57,4.13,1.62,3.57,0.62,0.88,2.18,2.4,3.54,2.39,1.69,1.04,1.48,1.56,2.81,3.15,0.53,2.42,1.17,2.44,1.78,4.37,1.02,2.55,2.66,1.29,2.75,3.22,2.54,2.72,1,0.23,1.96,,,,,,,,,
April,0.6,1,3.1,2.7,1,0.7,1.8,4.1,3.2,1.6,0.5,5.3,1.3,0.1,2.1,1,4.3,3.3,1.7,2.5,3.6,0.7,4.4,1.6,1.1,2.3,1.7,1.5,1.5,3.8,0.7,0.9,0.9,1,0.7,1.8,1.3,1.6,3.7,3.2,2.5,2.75,1.51,1.29,4.23,1.97,1.05,1.51,1.38,3.61,2.92,1.73,0.44,2.71,1.51,1.68,2.49,1.49,0.65,2.42,2.04,1.09,1.84,3.45,1.65,4.09,2.2,0.99,0.78,1.39,1.61,2.33,2.35,1.3,5.52,3.53,1.16,1.73,0.24,1.49,2.9,1.56,2.43,1.28,2.36,1.61,,,,,,,,,
May,1.3,1.5,4.1,2.2,1.3,2.8,1,3.9,2.6,1.2,1.7,1,3.5,3.1,2.1,1.3,1,2.6,4.7,1.9,1.2,2.3,2.7,1.7,3.6,3.9,3.7,0.9,2.5,3.1,1.6,1.9,3.6,1.5,2.5,0.7,0.6,1.8,2.2,4.6,2.4,2.45,2.18,1.63,3.25,1.91,6.28,3.69,1.6,3.15,1.58,1.29,1.4,3.18,2.58,1.49,3.77,2.15,3.29,0.98,3.62,1.66,1.78,1.68,4.78,5.66,2.63,2.32,1.62,2.43,1.91,3.63,3.81,1.65,2.17,0.63,0.57,1.81,4.52,1.71,0.88,2.7,3.61,4.47,2.1,4.06,,,,,,,,,
June,5.6,2,4.1,3,2,0.4,2.2,2,0.5,2.8,1.8,2.3,4.4,1.4,0.4,2.2,3.3,3.7,3.1,5.1,1.6,4,3.1,2.6,0.3,0.8,1.1,0.6,2.5,0.9,3.4,0.9,3.5,3.1,2.4,1.2,3.5,4.9,2.2,1.9,2.5,2.34,1.79,2.87,1.77,0.38,1.67,5.14,1.67,1.23,0.96,2.19,3.93,2.43,0.73,2.2,2.81,1.47,0.39,1.7,1.39,0.18,1.75,1.24,1.81,0.33,3.5,3.38,4.96,1.77,2.39,4.76,1.6,1.84,2.45,2.84,1.05,2.42,4.08,1.77,0.71,0.78,0.87,2.67,3.31,,,,,,,,,,
July,2.3,3.1,3.8,0,2.4,3.8,3.5,4.7,0.3,0.6,0.8,4.3,2.6,5,2.7,2.1,2.3,5.4,0.6,4.7,3.7,4.2,4,6.6,5.3,1,3.1,2.6,3.7,2,3.2,2.1,1.2,2.4,2.9,4.5,4.3,1.8,0.9,2.8,3.5,0.69,2.89,5.41,2.02,2.09,1.29,2.5,3.28,4.26,3.52,1.5,2.76,0.63,2.87,3.17,5.88,2.28,3.73,0.86,1.98,2.54,4.37,2.13,5.73,1.35,4.77,3.42,1.69,3.49,3.03,5.27,3.43,4.32,3.66,1.49,4.78,4.72,3.71,4.84,5.56,2.99,2.52,2.25,2.58,,,,,,,,,,
August,3.5,6,2.7,3.9,1,5,4.3,2.7,5.4,1.1,0.7,2.4,5.8,4,4.8,2.2,4,8.2,3.9,4.8,0.6,4.5,2.4,4.3,1.5,3.1,1.6,3.6,2.2,5.6,3,6.2,5.2,3.3,4,6.5,3,4.6,3.7,1.3,4.4,4.25,3.73,4.78,5.69,4.03,5.57,4.16,4.13,2.58,7.45,1.44,4.93,1.36,2.39,3.77,3.12,5.12,2.07,2.11,4.48,6.3,2.31,5.17,3.06,3.74,2.24,7.1,5.46,4.54,6.45,2.83,0.42,0.93,4.44,3.51,1.76,5.5,1.56,1.25,0.78,3.44,2.43,5.35,2.93,,,,,,,,,,
September,1.3,5.6,1.5,4.7,3.7,1.4,4.1,1.8,3.6,6.1,2.6,2.2,3.3,3.6,4,3.9,3.6,2.2,4,2.9,2.7,3.5,2.4,3.2,2.5,4.9,4.3,3.2,0.4,0.8,3.6,6.3,2.4,1.4,0.3,1.1,4,3,3.6,2.3,3.4,2.8,1.94,3.04,2.23,1.79,1.35,1.33,6.77,2.38,0.73,1.38,3.16,1.97,0.84,1.49,1.47,1.52,4.43,2.59,1.39,1.71,2.05,3.37,4.08,3.21,3.69,7.46,3.8,0.44,4.54,1.59,2.68,2.2,3.01,5.09,3.74,1.56,4.45,1.92,2.21,1.05,3.27,3.26,2.46,,,,,,,,,,
October,4.3,2.2,5.8,3.3,6.6,7.7,3.3,3.3,2.5,2.6,4.2,4.2,3.5,4.3,5.2,5.7,4.9,5.1,4.6,1.4,1.7,4,3.9,3.7,3.1,1.7,4,1.9,2.1,3.5,3.1,2.6,4.7,2.7,4.6,2.3,3.9,1.7,5.7,4,3.8,2.45,1.9,7.55,1.85,1.99,5.33,6.77,2.61,5.03,2.57,3.15,3.67,2.02,2.47,3.98,6.02,4.2,3.35,1.55,1.66,3.56,1.95,3.17,3.34,2.93,5.01,5.57,5.43,3.75,3.59,2,5.97,2.81,4.17,6.39,2.61,3.37,6.32,3.45,4.26,3.44,2.75,4.51,3.39,,,,,,,,,,
