"LOCH LEVEN SLUICE",,,,,,,,,,,,
Grid ref,NT171994,Long,-3.337019,Lat,56.179997,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.10,1.92,2.03,7.20,2.71,1.40,4.47,2.44,4.46,3.70,,
February,4.00,1.55,1.24,6.96,2.92,1.22,2.11,2.40,1.94,1.23,,
March,1.10,2.30,1.55,6.56,2.13,4.29,2.68,3.18,4.13,3.10,,
April,2.50,2.75,1.51,1.29,4.23,1.97,1.05,1.51,1.38,3.61,,
May,2.40,2.45,2.18,1.63,3.25,1.91,6.28,3.69,1.60,3.15,,
June,2.50,2.34,1.79,2.87,1.77,0.38,1.67,5.14,1.67,1.23,,
July,3.50,0.69,2.89,5.41,2.02,2.09,1.29,2.50,3.28,4.26,,
August,4.40,4.25,3.73,4.78,5.69,4.03,5.57,4.16,4.13,2.58,,
September,3.40,2.80,1.94,3.04,2.23,1.79,1.35,1.33,6.77,2.38,,
October,3.80,2.45,1.90,7.55,1.85,1.99,5.33,6.77,2.61,5.03,,
November,5.80,2.59,2.31,1.63,1.00,6.03,4.64,2.67,3.33,0.94,,
December,5.70,2.34,4.48,3.27,2.08,3.18,1.67,4.64,2.14,5.29,,
Total,44.20,28.43,27.55,52.19,31.88,30.28,38.11,40.43,37.44,36.50,,
Calc annual,44.20,28.43,27.55,52.19,31.88,30.28,38.11,40.43,37.44,36.50,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
