LOCH LEVEN SLUICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT171993,Long,-3.337019,Lat,56.179997,Elevation,360,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5466/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,4.39,0.8,5.05,4.02,6.78,4.97,1.33,2.92,3.6,4.53,3.44,2.6,3.74,4.15,5.72,3.61,2.73,4.8,3,0.77,3.57,2.02,3.89,5.37,2.26,1.47,4.12
February,,,,0.14,2.85,3.59,4.17,1.07,4,1.66,5.2,1.51,2.46,1.11,4.94,1.74,2.11,4.09,2.94,3.09,3.14,0.59,1.36,2.96,3.61,1.85,3.53,3.3,1.03,2.72
March,,,,4.51,1.11,2.64,2.77,1.45,2.88,3.26,2.57,2.73,1.27,0.25,2.23,2.81,4.76,1.66,1.4,2.97,3.52,3.58,1.19,3.81,2.31,1.75,2.83,2.72,1.64,2.3
April,,,,5.45,3.71,1.21,1.7,0.26,1.67,3.13,1.68,2.5,1.65,2.53,1.75,0.69,4.51,2.21,2.29,2.59,2.43,1.65,2.41,1.36,1.23,0.84,1.68,1.74,2.95,1.97
May,,,,2.27,0.65,0.6,1.83,4.66,1.73,0.95,2.87,3.74,4.78,2.31,4.37,1.78,3.88,3.1,2.34,1.89,2.65,1.57,2.47,5.61,2.7,1.72,1.91,2.39,0.8,3.41
June,,,,2.48,2.91,1.08,2.46,4.41,1.84,0.81,0.84,0.9,2.82,3.49,3.56,3.01,3.82,4.93,1.49,2.17,2.63,2.76,2.13,2.97,1.73,3.3,1.56,3.48,2.5,1.9
July,,,,3.71,1.52,5.01,4.92,3.83,4.97,5.82,3.1,2.6,2.34,2.62,3.47,4.06,2.44,3.55,2.36,4.82,5.83,2.12,4.45,2.92,1.36,4.52,5.91,5.33,4.31,3.98
August,,,,4.4,3.55,1.87,5.62,1.65,1.3,0.9,3.74,2.54,5.49,3.17,2.12,4.07,0.15,8.06,3.62,4.19,3.96,3.99,2.03,3.31,0.99,6.34,5.4,3.46,0.73,4.89
September,,,,3.12,5.5,3.76,1.71,4.63,1.98,2.31,1.06,3.37,3.33,2.56,4.53,5.17,3.05,4.11,2.71,7.31,2.26,2.46,4.52,4.47,2.18,3.82,1.81,3.94,0.74,1.85
October,,,,4.61,7.24,3.06,3.42,6.73,3.51,4.36,3.62,3.33,4.93,3.58,4.51,0.29,1.99,3.63,4.67,3.02,0.59,2.86,2.01,8.23,2.58,2.03,3.05,2.86,2.94,5.35
November,,,,1.02,4.32,3.26,0.53,5.2,6.28,5.3,3.25,0.64,1.41,7.42,0.86,6.4,3.91,2.65,3.8,4.43,5.38,2.11,4.86,5.03,1.47,0.62,2.02,1.29,6.89,4.3
December,,,,4.7,2.28,3.76,3.23,3.09,1.6,3.06,2.5,3.27,2.32,3.19,3.38,3.71,2.08,4.38,4.93,1.9,4.27,2.96,4.27,4.32,6.6,3.83,5.68,7.32,5.61,3.67
Total,,,,40.8,36.44,34.89,36.38,43.76,36.73,32.89,33.35,30.73,37.33,35.67,38.32,37.47,36.85,48.09,36.16,41.11,41.46,29.65,32.47,48.56,28.78,34.51,40.75,40.09,31.61,40.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-1933 values removed as duplicates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
