INVERGORDON CASTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH 698 695,Long,-4.186397,Lat,57.696431,Elevation,25,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,3.39,2.15,3.33,5.59,1.48,2.17,0.96,2.56,2.08,2.55,3.87,0.99,2.74,1.58,0.68,2.63,0.81,2.45,2.08,4.88,,,,,
February,,,,,,0.58,2.87,2.17,2.95,2.91,1.37,2.54,1.3,0.35,0.15,0.58,3.11,3.13,0.72,0.84,1.29,2.55,2.38,1.57,2.29,,,,,
March,,,,,,1.6,1.76,1.07,1.99,1.16,0.42,1.34,1.16,0.92,1.79,1.3,3.16,1.83,1.48,3.31,1.14,1.42,5.1,2.11,1.21,,,,,
April,,,,,,0.93,0.75,2.71,2.09,1.5,1.16,2.17,1.3,0.84,1.54,1.01,2.12,1.67,0.48,1.37,1.38,1.17,2.57,0.99,0.5,,,,,
May,,,,,,1.55,1.13,1.98,1.29,1.24,1.32,0.48,2.55,3.2,2.19,1.08,1.07,1.76,2.71,2.47,0.69,2.64,1.39,1.08,2.57,,,,,
June,,,,,,0.18,0.88,1.88,1.19,1.28,0.79,0.97,5.84,1.42,0.9,1.93,1.56,3.53,2.44,2.2,2.62,2.11,2.99,1.51,0.92,,,,,
July,,,,,,2.63,2.55,2.76,0.28,0.66,1.23,3.45,2.87,3.08,2.5,3.1,1.51,2.2,1.03,3.98,5.09,4.25,3.1,4.27,2.52,,,,,
August,,,,,,1.62,2.08,1.91,5.29,1.35,0.94,1.58,2.16,2.82,6.34,2.25,1.29,5.38,3.1,3.15,0.41,2.65,1.47,4.48,2.3,,,,,
September,,,,,,0.87,3.08,2.08,3.55,3.58,2.7,3.13,4.49,4.9,2.38,2.27,3.1,1.12,3.18,1.61,1.91,1.81,2.69,3.03,0.78,,,,,
October,,,,,,3.71,1.5,3.36,2.06,3.87,2.54,1.78,2.86,3.95,3.91,1.91,2.5,3.75,2.34,1.44,1.83,2.96,1.39,2.55,3.19,,,,,
November,,,,,,1.86,2.96,0.61,1.48,3.15,2.32,1.77,4.32,2.17,1.92,2.75,2.81,3.7,2.62,2.02,3.66,3.15,2.73,3.06,3.13,,,,,
December,,,,,,1.75,3.56,2.08,2.44,2.39,3.13,1.16,2.01,2.7,1.26,2.36,4.38,1.68,5.61,1.35,2.84,1.79,4.24,2.52,2.76,,,,,
Total,,,,,,20.67,25.27,25.94,30.2,24.57,20.09,21.33,33.42,28.43,27.43,24.41,27.6,32.49,27.29,24.42,25.49,27.31,32.5,29.25,27.05,,,,,
