CRATHES CROSS ROADS DURRIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO750942,Long,-2.413578,Lat,57.038208,Elevation,420,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,1.9,5.59,2.44,0.88,2.34,1.68,1.44,1.34,1.74,1.69,6.18,6.96,1.3,3.11,1.04,2.47,2.69,4.48,2.57,,,,,,,,,,
February,,,1.55,4,5.54,1.87,2.42,3,0.95,0.79,3.48,0.95,3.42,1.22,3.86,7.78,2.46,1.85,1.94,2.45,1.35,,,,,,,,,,
March,,,1.14,4.05,3.17,3.55,1.72,1.08,4.62,5.92,2.08,1.85,3.03,4.69,4.34,1.55,3.19,2.68,1.66,2.25,2.68,,,,,,,,,,
April,,,3.74,3.45,1.58,2.94,2.24,1.99,1.76,3.47,3.92,1.74,0.56,3.24,0.79,0.96,2.88,1.54,0.71,3.34,2.11,,,,,,,,,,
May,,,3.91,2.37,2.49,1.13,5.73,5.54,1.36,2.45,2.79,2.65,2.14,5.89,2.26,1.07,3.29,1.76,3.08,0.97,4.52,,,,,,,,,,
June,,,2.21,1.55,0.83,0.71,1.2,4.76,1.16,1.31,0.84,2.07,2.24,1.97,0.68,1.24,4.46,2.34,1.06,1.02,0.58,,,,,,,,,,
July,,,3.47,4.93,1.87,0.72,1.98,1.09,2.24,5.23,2.21,2.19,1.71,1.16,3.38,5.98,5.19,2.19,5.29,0.8,3.81,,,,,,,,,,
August,,,2.53,4.72,3.08,3.93,3.11,2.39,2.81,2.94,5.62,1.57,5.39,1.72,1.36,1.63,3.26,5.66,2.31,2.86,2.46,,,,,,,,,,
September,,,1.69,3.47,2.4,2.21,0.6,0.9,3.27,1.73,0.97,0.82,2.52,4.43,1.28,2.53,1.38,1.72,4.08,1.74,3.65,,,,,,,,,,
October,,,2.39,7.04,0.83,3.39,6.07,6.41,3.53,3.09,2.36,2.27,5.47,1.79,3.86,7.26,6.34,3.76,3.33,2.58,5.35,,,,,,,,,,
November,,,6.18,2.05,1.34,9.54,5.78,2.69,1.35,1.48,5.57,5.21,1.8,1.21,4.39,3.17,4.91,3.15,2.72,5.64,2.39,,,,,,,,,,
December,,,6.78,4.88,2.13,1.15,2.51,4.26,3.44,4.19,6.29,9.93,1.61,1.42,8.09,10.24,4.1,1.17,2.05,6.28,5.36,,,,,,,,,,
Total,,,37.49,48.1,27.7,32.02,35.7,35.79,27.93,33.94,37.87,32.94,36.07,35.7,35.59,46.52,42.5,30.29,30.92,34.41,36.83,,,,,,,,,,
