FRODSHAM-CASTLE-PARK,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ514775,Long,-2.7305571,Lat,53.29222,Elevation,50,ft.,,,,,,,,,,,,
Station no,2779/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,2.29,3.38,4.83,1.59,2.95,3.57,3.9,,,,,,,
February,,,,,,,4.22,0.67,2.49,2.14,3.25,1.82,1.58,,,,,,,
March,,,,,,1.46,1.28,0.78,1.55,2.52,2.73,1.91,0.69,,,,,,,
April,,,,,,1.59,2.72,0.13,1.65,2.21,1.45,1.31,1.19,,,,,,,
May,,,,,,1.12,2.14,3.49,1.42,1.9,1.63,4.2,2.25,,,,,,,
June,,,,,,3.29,1.11,2.23,2.94,1.28,1.04,0.24,2.18,,,,,,,
July,,,,,,3.98,1.53,3.12,5.8,3.91,2.13,2.64,2.42,,,,,,,
August,,,,,,1.9,1.29,3.88,1.59,0.66,3.53,1.85,2.59,,,,,,,
September,,,,,,5.07,1.69,0.83,0.8,3.07,1.07,0.69,2.91,,,,,,,
October,,,,,,1.65,2.75,4.19,2.54,3.37,2.99,3.74,3.31,,,,,,,
November,,,,,,2.85,1.92,3.92,4.17,6.25,2.31,0.56,2.16,,,,,,,
December,,,,,,2.81,2.75,3.19,2.08,2.42,0.98,3.8,1.26,,,,,,,
Total,,,,,,,25.69,29.81,31.86,31.32,26.06,26.33,26.44,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Castle Park at the stated altitude.,,,,,,,,,,,,,,,,,,,,
"Station no was 2782/5 until end of 1937, when the gauge was transferred from Cheshire/3 to Cheshire/2 but gauge was not moved",,,,,,,,,,,,,,,,,,,,
