"WETWANG (PRIMARY SCH)",,,,,,,,,,,,
Grid ref,SE933589,Long,-0.577533,Lat,54.017684,,,,,,,
Station no,3402/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,1.60,2.99,2.21,8.79,,
February,,,,,,,2.94,4.35,0.36,2.69,,
March,,,,,,,1.47,2.34,1.54,1.06,,
April,,,,,,,0.62,1.57,2.87,0.82,,
May,,,,,,,2.01,2.36,0.90,1.62,,
June,,,,,,,1.93,3.87,1.50,0.56,,
July,,,,,,,3.60,4.63,1.78,3.82,,
August,,,,,,,4.12,1.95,0.95,4.65,,
September,,,,,,,3.11,1.66,0.40,3.40,,
October,,,,,,,2.78,2.64,2.47,8.17,,
November,,,,,,,3.11,0.74,2.96,6.06,,
December,,,,,,,2.27,3.65,4.84,4.04,,
Total,,,,,,,29.56,32.75,22.78,45.68,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,29.56,32.75,22.78,45.68,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
