QUEENSTOWN ALTAVILLA CORK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IW7991566619,Long,-8.2922369,Lat,51.851775,Elevation,140,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,4.68,5.66,4.56,0.31,3.71,2.99,1.92,2.59,4.47,3.06,4.96,3.27,1.96,3.01,5.9,2.97,4.52,6.84,3.09,3.38,5.96,6.3,2.9,4.81,1.81,5.42,2.07,5,1.35,0.73,3.28,,,,,,,
February,,,1.19,0.66,0.74,1.43,3.84,1.17,4.7,1.81,1.65,3.82,1.67,1.37,1.61,2.29,2.45,1.93,1.64,2.7,2.56,3.34,3.93,2.37,3.78,1.94,4.19,1.33,2.06,4.66,3.5,4.12,3.72,,,,,,,
March,,,1.93,1.7,0.91,3.05,1.47,2.35,0.57,1.99,2.64,2.57,3.15,2.97,2.27,1.91,2.9,4.3,2.86,1.96,2.01,1.93,3.47,3.56,1.5,1.46,2.94,2.44,0.81,1.15,2.83,3.12,1.82,,,,,,,
April,,,1.35,1.7,0.25,1.31,2.07,3.54,4.5,3.86,1.43,1.99,2.88,0.83,1.43,1.09,2.51,3.11,2.97,1.85,1.04,2.99,1.01,1.42,2.32,1.87,2.85,4.54,3.55,1.93,3.03,1.23,4.26,,,,,,,
May,,,1.71,1.51,3.22,2.85,3.63,3.4,2.66,1.13,2.88,0.11,2.82,1.56,2.29,3.33,1.33,4.69,2.1,3.64,3.1,0.59,1.49,1.66,0.99,2.66,0.11,2.72,3.59,2,1.04,1.13,2.79,,,,,,,
June,,,5.16,2.4,3.39,1.76,0.91,2.66,0.93,1.09,4.23,3.98,2.78,3.87,1.52,0.76,3.06,0.65,1.14,0.32,0.69,2.51,2.91,2.32,0.72,2.34,0.88,3.52,5.7,5.88,1.94,4.38,3.68,,,,,,,
July,,,1.19,2.91,3.49,3.52,1.06,1.99,1.38,2.83,1.37,5.34,4.05,1.01,1.6,2.36,0.74,2.86,1.1,2.03,1,3.91,3.68,3.32,1.82,1.92,1.51,1.65,1.49,3.49,2.56,1.68,6.05,,,,,,,
August,,,4.21,3.31,1.85,2.12,3.32,2.45,2.73,3.34,3.2,3.79,1.83,4.2,1.05,3.39,2.91,2.88,4.26,1.02,1.17,2.12,5.58,4.29,2.5,3.08,2.37,4.11,3.48,2.47,1,3.68,2.57,,,,,,,
September,,,2.22,1.99,0.52,1.85,2.63,3.06,3.63,4.52,2.23,4.03,2.31,2.57,2.29,0.64,3.5,1,4.94,2.87,1.89,3.63,2.46,3.37,3.4,6.17,4.83,3.03,2.54,2.97,1.75,1.74,2.13,,,,,,,
October,,,4.21,7.28,2.03,1.13,3.77,3.23,2.24,4.27,1.38,4.06,2.24,5.16,4.33,3.67,2.04,3.06,2.84,0.31,4.45,4.63,2.92,2.76,5.24,3.67,5.29,4.8,2.16,0.68,2.94,3.85,4.18,,,,,,,
November,,,7.1,2.76,0.95,1.94,0.85,2.22,2.61,3.46,2.79,2.57,2.83,2.9,4.26,5.41,3.01,1.53,3.09,2.36,2.95,3.21,6.44,2.87,4.61,2.34,4.27,4.86,1.7,0.79,4.5,5.45,4.54,,,,,,,
December,,,6.71,1.61,0.98,3.32,4.69,1.92,4.93,4.54,3.04,2.59,3.74,1.91,3.42,5,3.31,1.05,7.12,4.97,2.47,3.42,8.26,0.75,4.98,2.25,5.82,3.71,1.5,1.94,3.37,4.8,4.8,,,,,,,
Total,,,41.66,33.49,22.89,24.59,31.95,30.98,32.8,35.43,31.31,37.91,35.26,31.62,28.03,32.86,33.66,30.03,38.58,30.87,26.42,35.66,48.11,34.99,34.76,34.51,36.87,42.13,30.65,32.96,29.81,35.91,43.82,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1859 July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
