BULVAN-PEAR-TREE-CORNER,,,,,,,,,,
Grid ref,TQ638866,Long,0.36130432,Lat,51.554508,Elevation,12,ft,,
Station no,RR7398,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,3.25,2.87,0.61,3.06,1.08,1.3,2.69,
February,,,1.39,0.52,1.66,2.39,3.18,0.62,0.83,
March,,,2.26,2.03,4.14,1.02,3.39,1.43,0.91,
April,,,0.13,2.27,0.79,0.96,1.16,1.54,2.39,
May,,,0.83,1.4,1.65,1.92,1.52,1.94,1.45,
June,,,2.88,0.42,1.04,0.63,1.76,0.98,0.8,
July,,,1.7,1.99,1.1,2.44,1.47,4.69,6.81,
August,,,2.86,1.33,0.73,2.56,3.09,3.55,1.37,
September,,,2.15,1.13,0.7,2.13,0.91,1.03,4.38,
October,,,1.25,3.63,1.24,1.71,2.1,2.48,1.46,
November,,,1.7,2.92,2.33,3.31,3.84,1.52,1.87,
December,,3.08,2.55,0.77,5.76,4.56,2.54,1.42,,
Total,,,22.95,21.28,21.75,26.69,26.04,22.5,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1918 Dec estimated,,,,,,,,,,
