OSWALDKIRK - LEYSTHORPE HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE636789,Long,-1.027,Lat,54.202,Elevation,231,ft,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,4.41,2.35,4.04,1.80,2.06,2.10,1.95,2.34,4.00,3.13,2.79,4.43,2.26,3.08,3.45,4.29,1.93,4.14,2.34,2.78,6.26,0.64,1.51,2.28,2.27,0.78,2.00,1.49,5.18,1.62,2.61,2.31,4.65
February,,1.59,1.13,1.54,2.25,0.51,4.36,1.38,2.92,2.31,3.96,0.99,1.88,1.53,3.38,1.95,0.58,1.96,2.28,1.36,2.72,1.41,0.83,3.52,2.71,0.73,1.94,2.38,2.22,2.45,2.68,4.98,0.40,2.24
March,,2.70,0.32,2.26,0.94,2.77,2.28,2.29,0.63,1.44,3.08,0.17,2.16,1.60,2.42,2.08,0.38,0.46,0.66,1.18,4.72,1.20,1.44,1.23,3.43,2.58,0.13,2.07,2.17,1.24,1.90,2.90,1.69,1.00
April,,0.93,1.04,2.78,3.08,1.44,1.96,2.26,2.73,1.20,2.59,0.04,1.04,1.21,1.32,1.44,1.14,2.25,2.16,2.09,2.50,1.28,1.98,2.12,0.90,1.57,2.70,0.18,1.28,1.39,0.27,1.03,3.64,1.05
May,,1.48,1.76,1.40,2.67,4.97,2.61,1.08,0.90,1.37,2.68,2.90,1.15,1.56,1.96,3.03,2.85,1.01,2.40,1.74,2.65,1.85,1.84,1.75,4.00,1.23,1.79,3.50,2.25,0.61,1.32,2.89,0.37,1.18
June,,4.15,1.84,2.50,4.57,0.39,2.45,1.28,3.25,3.90,1.79,1.81,1.96,0.55,0.16,0.90,1.79,3.16,2.29,2.64,2.52,6.35,0.77,1.00,1.30,2.17,2.37,1.55,2.34,3.86,2.70,3.00,1.35,0.50
July,,0.63,1.99,4.36,3.32,3.20,2.03,2.98,0.19,2.88,1.62,2.93,3.01,6.28,1.62,2.65,0.99,3.65,1.78,2.94,1.98,1.54,1.57,2.18,1.94,1.72,2.61,2.62,1.32,5.16,3.18,2.99,1.75,5.57
August,,4.39,2.74,3.45,3.38,1.94,0.69,2.59,1.87,3.42,1.81,1.74,1.99,1.03,3.72,2.46,3.29,3.66,4.33,3.58,0.19,3.58,2.42,5.72,6.55,2.10,3.63,4.82,0.60,7.59,5.41,1.97,0.34,2.36
September,,0.64,0.51,3.58,3.96,2.84,1.70,1.61,4.55,2.54,1.56,2.44,0.86,1.92,0.61,2.45,4.20,4.69,1.53,4.36,1.67,1.87,0.72,3.37,1.74,3.59,1.46,2.45,0.93,2.16,3.60,2.48,0.35,2.90
October,,4.40,2.74,2.34,1.37,3.61,4.67,2.00,3.66,1.68,2.62,2.80,3.05,3.14,3.88,2.11,1.52,2.97,3.03,1.02,0.62,1.01,2.74,1.91,1.85,2.82,2.23,4.20,2.13,1.52,2.85,1.73,1.80,6.40
November,2.30,2.90,4.01,3.84,4.45,1.93,2.69,1.83,4.44,2.87,2.32,2.99,2.85,2.96,3.42,0.73,3.10,3.93,0.72,6.02,1.81,0.89,3.67,4.24,5.47,2.26,2.68,5.25,2.53,1.22,2.08,0.90,3.67,4.34
December,2.40,1.76,4.83,2.29,1.15,1.40,0.78,4.78,2.59,2.15,3.56,4.29,2.15,2.35,0.43,2.21,1.54,1.96,1.75,2.97,1.38,2.67,2.45,3.08,3.38,2.26,1.34,1.97,3.20,2.40,2.74,3.35,3.83,3.17
Total,,29.98,25.26,34.38,32.94,27.06,28.32,26.03,30.07,29.76,30.72,25.89,26.53,26.39,26.00,25.46,25.67,31.63,27.07,32.24,25.54,29.91,21.07,31.63,35.55,25.30,23.66,32.99,22.46,34.78,30.35,30.83,21.50,35.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_20_pt1/012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_22_pt1/012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The 1937 total has been increased by 0.10 compared to the sheet figure to match the sum of the months.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1971 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
