"FALKIRK ARDENLEA",,,,,,,,,,,,
Grid ref,NS883799,Long,-3.792577,Lat,55.998998,,,,,,,
Station no,RR4149,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,4.84,2.64,4.63,5.09,,
February,,,,,,,2.60,3.14,2.38,1.82,,
March,,,,,,,4.37,3.75,4.41,3.21,,
April,,,,,,,1.45,1.36,1.07,3.80,,
May,,,,,,,4.59,4.74,3.14,3.11,,
June,,,,,,,1.77,4.52,1.96,1.79,,
July,,,,,,,1.96,2.38,3.57,2.62,,
August,,,,,,,5.92,4.49,3.30,3.11,,
September,,,,,,,1.47,1.25,5.31,1.82,,
October,,,,,,,5.67,6.52,1.67,5.02,,
November,,,,,,,3.96,1.82,3.54,2.14,,
December,,,,,,,2.42,5.98,2.56,5.45,,
Total,,,,,,,41.02,42.59,37.54,38.98,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,41.02,42.59,37.54,38.98,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,,
