FALKIRK ARDENLEA,,,,,,,,,,,,,,,,,,,,
Grid ref,NS883799,Long,-3.792577,Lat,55.998998,Elevation,105,ft,,,,,,,,,,,,
Station no,RR4149,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,4.84,2.64,4.63,5.09,5.47,2.56,2.38,4.27,3.43,2.03,5.21,1.97,4.7,
February,,,,,,,2.6,3.14,2.38,1.82,3.88,6.12,2.74,2.68,3.44,3.99,4.6,0.86,5.27,
March,,,,,,,4.37,3.75,4.41,3.21,2.21,2.45,4.23,4.26,4.17,1.91,3.05,2.3,1.3,
April,,,,,,,1.45,1.36,1.07,3.8,4.19,2.28,0.99,2.81,1.88,2.16,2.32,1.44,0.74,
May,,,,,,,4.59,4.74,3.14,3.11,1.73,1.29,1.47,2.29,2.23,1.56,5.22,2.24,2.35,
June,,,,,,,1.77,4.52,1.96,1.79,1.07,1.45,4.47,2.41,0.67,2.01,2.73,2.66,0.58,
July,,,,,,,1.96,2.38,3.57,2.62,4.26,2.26,2.17,1.2,3.3,3.57,4.11,2.87,3.41,
August,,,,,,,5.92,4.49,3.3,3.11,6.71,2.59,3.48,1.03,2.94,3.98,3.32,5.91,2.94,
September,,,,,,,1.47,1.25,5.31,1.82,0.8,1.5,2.39,2.73,1.17,1.99,0.96,2.12,5.35,
October,,,,,,,5.67,6.52,1.67,5.02,3.05,3.79,3.56,1.99,1.48,3,6.4,4.81,4.7,
November,,,,,,,3.96,1.82,3.54,2.14,3.29,5.7,3.39,5.25,5.23,1.82,4.02,6.47,2.85,
December,,,,,,,2.42,5.98,2.56,5.45,2.58,4.09,8,3.32,6.84,5.27,4.08,2.8,3.45,
Total,,,,,,,41.02,42.59,37.54,38.98,39.24,36.08,39.27,34.24,36.78,33.29,46.02,36.45,37.64,
,,,,,,,,,,,,,,,,,,,,
Station no,RR4149,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
https://en.wikipedia.org/wiki/John_Aitken_(meteorologist),,,,,,,,,,,,,,,,,,,,
