CANN-BRINSCOMBE-HILL-FARM,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST872220,Long,-2.18351,Lat,50.99755,Elevation,600,ft,,,,,,,,,,,,,
Station no,1630,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,3.58,0.96,3.94,2.06,2.24,2.28,2.57,0.89,4.49,,,,
February,,,,,,,,,2.27,1.43,2.2,2.26,0.06,4.65,0.12,3.46,2.91,,,,
March,,,,,,,,,2.8,0.02,1.3,1.04,1.64,2.98,3.14,0.86,3.76,,,,
April,,,,,,,,,1.85,0.63,2.97,2.94,2.67,1.48,2.12,3.67,1.84,,,,
May,,,,,,,,,1.66,1.96,1.91,2.7,3.48,2.17,0.89,1.26,0.54,,,,
June,,,,,,,,2.29,2.51,1.56,0.54,4.56,1.72,2.36,0.81,3.43,2.19,,,,
July,,,,,,,,2.05,2.27,1.26,2.05,4.26,2.57,2.51,0.96,0.7,5.35,,,,
August,,,,,,,,3.64,2.81,1.78,3.14,3.87,0.77,0.89,3.34,1.91,0.19,,,,
September,,,,,,,,6.76,2.19,0.26,3.69,1.67,3.87,2.58,2.53,3.41,3.25,,,,
October,,,,,,,,2.88,5.59,4.9,2.2,0.56,5.91,2.19,2.05,4.14,1.59,,,,
November,,,,,,,,4.15,2.64,7.42,5.24,4.72,1.82,0.75,2,6.79,3.07,,,,
December,,,,,,,,3.43,2.59,5.57,3.79,0.91,1.55,0.98,7.89,4.85,3.13,,,,
Total,,,,,,,,,32.76,27.75,32.97,31.55,28.3,25.82,28.42,35.37,32.31,,,,
,,,,,,,,,,,,,,,,,,,,,
Farm not found but census puts it near Brinscombe Farm and distance to church and elevation locates it just S,,,,,,,,,,,,,,,,,,,,,
1927 Gauge from Cann Spring Cottage,,,,,,,,,,,,,,,,,,,,,
1937 Observer moved Gauge moved to Shaftesbury Coppice St Counted as continuation of station,,,,,,,,,,,,,,,,,,,,,
1937 Sept Marked as estimated possibly as when moved,,,,,,,,,,,,,,,,,,,,,
1937 Not printed so deleted as at different location 0.5 mile N,,,,,,,,,,,,,,,,,,,,,
