"CARMARTHEN JOINT COUNTIES ASYLUM",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR1183,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,4.34,4.94,10.11,8.56,6.60,9.33,3.11,8.94,3.65,3.53,,
February,4.60,4.04,7.51,2.45,4.92,2.52,5.69,4.25,2.92,4.94,,
March,3.77,3.13,6.31,3.44,3.61,1.45,3.50,3.89,2.04,2.75,,
April,1.04,4.91,2.83,0.90,3.02,3.16,3.60,3.51,3.44,2.47,,
May,2.98,0.92,2.09,3.18,0.64,3.27,0.25,4.43,4.46,3.14,,
June,0.94,2.85,7.16,2.06,1.71,3.37,2.51,2.91,2.99,8.91,,
July,1.64,7.29,2.89,4.70,2.05,6.40,3.28,4.92,1.95,3.92,,
August,2.56,3.21,4.23,7.65,7.33,5.93,5.33,7.80,7.03,9.23,,
September,2.47,5.98,5.89,3.73,8.01,6.17,6.98,3.38,3.73,5.70,,
October,9.30,7.04,8.10,4.60,6.79,6.45,7.47,6.47,6.36,1.84,,
November,5.73,1.89,9.75,2.37,4.22,7.37,5.62,8.63,4.68,0.70,,
December,1.77,5.16,9.33,2.14,6.68,3.96,9.28,4.13,2.75,2.65,,
Total,41.14,51.36,76.20,45.78,55.58,59.38,56.62,63.26,46.00,49.78,,
Calc annual,41.14,51.36,76.20,45.78,55.58,59.38,56.62,63.26,46.00,49.78,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
