WOOLSTHORPE - GRANGE FARM,,,,,,,,,,
Grid ref,SK838351,Long,-0.755,Lat,52.907,Elevation,186,ft,,
Station no,2581/9,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,
February,,,,,,,,,,1.81
March,,,,,,,,,,1.41
April,,,,,,,,,,0.59
May,,,,,,,,,,0.95
June,,,,,,,,,,1.39
July,,,,,,,,,,2.77
August,,,,,,,,,,3.73
September,,,,,,,,,,3.45
October,,,,,,,,,,5.10
November,,,,,,,,,,2.69
December,,,,,,,,,,3.64
Total,,,,,,,,,,
,,,,,,,,,,
TYRain_1951-1960_15_pt1/267,,,,,,,,,,
,,,,,,,,,,
# The station is still active according to MIDAS. (MIDAS src_id = 3567),,,,,,,,,,
