GOUDHURST SCOTNEY CASTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ685354,Long,0.404847,Lat,51.093158,Elevation,203,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,
January,,,,3.56,1.76,2.88,1.04,6.63,1.14,3.02,0.27,1.98,1.04,2.67,2.45,1.8,4.13,1.91,0.61,0.86,2.28,2.35,0.55,2.02,3.61,1.7,0.75,1.69,0.64,3.36,2.59,0.39,1.09,2.14,4.3,1.29,4.38,1.59,1.83,0.95,3.1,1.49,2.52,4.98,0.64,3.36,1.32,1.47,3.32,5.17,3.88,2.7,3.4,1.31,2.27,3.27,3.12,2.13,3.99,1.17,4.19,1.9,2.58,1.77,3,0.95,4.43,5.85,3.61,5.81,2.28,3.46,2.32,5.26,2.08,1.96,3.09,2.32,5.18,1.83,1.4,3.49,2.97,0.97,1.2,3.78,5.5,2.93,3.58,3.05,1.76,,,,,,,,,
February,,,,1.86,0.06,0.71,2.16,2.33,1.54,4.19,1.96,2.2,0.72,3.69,1.21,3.85,0.45,0.64,1.57,1.75,1.14,0.14,1.3,3.88,1.73,,0.26,2.51,1.27,2.87,5.8,1.2,1.39,1.64,3.42,0.75,2.17,1.74,0.81,0.36,3.91,1.22,2.44,0.97,4.38,5.17,4.55,0.75,1.05,1.98,0.6,0.69,2.32,4.11,0.91,4.16,2.25,4.58,1.36,0.87,1.48,2.23,0.31,1.99,0.28,4.05,1.97,4.54,0.59,1.3,2.08,2.68,0.61,1.87,1.1,1.81,3.21,2.42,1.7,1.75,5.86,6.75,0.86,1.19,1.76,2.01,0.43,5.27,2.48,0.07,1.03,,,,,,,,,
March,,,,1.87,2.02,0.67,3.1,2.37,0.77,1.33,1.44,2.15,1.73,0.96,2.31,1.85,1.73,1.64,3.47,,2.23,1.65,1.38,0.52,1.11,4.61,2.88,4.1,0.87,0.37,1.05,2.13,1.44,2.77,1.19,3.94,1.51,0.82,2.67,4.03,1.64,2.04,5.13,2.61,6.07,0.56,3.42,1.37,0.9,3.87,1.63,1.52,2.04,2.22,1.67,0.94,0.44,4.32,2.07,0.05,1.47,0.4,1.53,2.75,3.52,0.31,1.37,3.95,0.53,1.8,2.9,2.58,3.04,0.27,0.04,1.85,1.75,5.94,0.9,0.93,1.39,3.76,3.08,0.22,2.99,1.79,0.91,1.35,1.67,1.82,1.33,,,,,,,,,
April,,,,0.62,2.83,0.85,1.95,2.97,4.81,3.2,1.71,0.56,3.42,1.47,1.49,1.91,1.71,1.62,1.44,4.1,2.26,0.25,0.82,0,0.52,,0.77,2.21,0.7,3.12,1.09,2.14,0.62,1.8,0.8,2.22,1.05,3.3,1.44,1.58,1.93,2.12,0.06,2.68,1.57,1.49,1.58,2.01,2.83,3.1,2.57,1.57,3.05,2.5,3.15,2.58,4.45,1.63,2.14,0.95,1.69,3.32,2.01,1.04,2.25,3.41,1.68,2.89,0.57,2.55,1.66,1.8,1.29,1.34,1.36,0.67,2.09,1.87,1.73,1.39,1.55,1.9,1.76,2.35,0.25,0.25,0.95,0.25,1.43,2.28,0.88,,,,,,,,,
May,,,,1.34,0.7,1.14,1.64,2.12,4.99,3.19,0.14,1.53,1.08,2,0.58,3.43,2.2,1.86,1.02,1.17,1.79,2.75,0.2,0.92,2.01,0.07,0.39,1.3,3.24,2.37,0.45,1.5,2.16,3.95,1.65,1,2.36,3.64,1.96,1.17,2.32,0.9,0.77,0.72,1,4.34,2.12,2.13,1.49,0.45,1.23,1.87,0.77,3.66,3.52,2.64,1.95,1.07,1.49,1.61,2.48,2.58,2.76,2.2,0.66,1.72,0.27,2.12,2.36,2.3,1.09,2.09,3.52,2.74,0.69,2.24,2.52,1.61,2.02,1.29,1.2,2.76,1.26,1.31,2.44,4.32,0.43,1.27,1.85,0.45,1.67,,,,,,,,,
June,,,,2.68,1.81,2.72,0.73,1.12,2.09,2.77,3.74,2.34,0.3,1.57,,1.01,0.42,0.82,0.94,,1.11,1.53,3,0.47,1.86,0.25,3.35,2.2,1.19,1.11,2.46,1.93,2.01,3.89,1.6,3.87,1.91,1.51,1.58,2.11,1.47,2.2,2.94,0.41,0.64,0.44,3.49,2.31,0.52,0.75,1.03,0.03,1.24,0.6,2.37,0.26,2.63,3.32,3.32,0.95,0.86,1.49,1.42,1.72,1,1.93,2.67,2.14,0.74,1.5,0.74,2.02,0.19,1.81,1.22,0.82,2.79,3.34,2.59,0.72,1.14,1.46,0.65,1.99,3.51,2.21,2.47,1.3,3.81,0.62,1.49,,,,,,,,,
July,,,,2.42,1.64,5.76,1.01,3.16,1.52,3.94,3.16,1.54,4.73,2.7,4.09,0.53,2.43,0.2,6.3,3.56,2.97,2.71,1.5,3.94,4.29,4.3,0.5,1.38,1.23,0.77,1.21,2.26,1.7,5.57,1.47,0.5,0.35,1.32,3.16,3.08,2.99,0.56,1.68,2.73,1.22,4.35,0.89,3.22,4.53,3.18,4.21,0.37,2.73,1.06,3.67,3.4,1.62,3.96,1.25,0.87,2.59,1.98,2.6,2.39,0.78,0.6,4.01,0.76,2.34,2.3,3.5,5.18,1.87,1.61,2.98,2.44,1.97,1.68,1.47,0.37,2.91,1.98,0.65,3.18,3.24,1.43,4.05,3.57,2.61,1.99,2.88,,,,,,,,,
August,,,,1.68,2.36,1.77,2.56,3.93,4.31,4.02,1.03,3.83,1.35,0.96,0.5,0.77,1.67,2.56,2.21,2.35,2.23,3.86,3.59,0.63,1.03,2.39,2.71,2.33,1.68,1.56,1.36,1.31,2.11,3,0.68,2.4,1,2.2,4.77,2.28,2.43,1.09,6.19,1.6,0.73,2.33,1.85,5.89,1.28,3.57,1.37,2.08,2.4,2.37,1.93,1.29,1.73,4.61,1.61,2.37,3.78,3.43,0.72,0.97,1.83,3.97,0.97,1.82,2.38,1.7,0.06,4.2,2.19,1.29,3.59,1.77,6.68,0.06,3.41,1.09,3.26,4.26,3.74,1.55,3.07,0.9,3.79,2.73,4.58,0.77,3.98,,,,,,,,,
September,,,,3.52,2.43,1.12,4.39,0.91,1.58,2.26,3.46,2.86,2.81,3.05,4,3.89,0.89,2.33,1.12,1.11,1.01,0.96,1.66,2.59,3.45,0.4,6.38,3.17,0.72,2.43,1.82,0.9,2.02,2.23,1.33,2.18,1.66,1,1.7,3.53,0.27,1.8,3.14,2,0.95,2.68,1.21,1.61,5.6,1.35,3.02,0.8,2.94,2.24,2.82,2.5,0.82,4.18,0.5,0.42,4.15,2.14,2.7,2.69,1.64,4.35,1.96,1.6,3.36,0.6,1.37,0.35,2.29,1.76,2.4,1.38,2.57,1.5,2.14,1.54,2.79,3.47,3.54,4.33,2.43,2.8,3.19,2.07,3.08,0.1,2.39,,,,,,,,,
October,,,,4.23,3.53,4.42,1.43,3.06,3.14,1.03,6.62,2.96,7.08,2.77,1.38,3.96,2.35,1.99,2.47,6.15,1.05,5.83,6.43,4.09,4.16,2.96,5.57,0.2,2.43,2.6,2.52,0.97,1.95,5.95,2.26,0.88,4.52,5.47,1.08,7.26,2.91,5.16,4.25,4.38,2.56,1.89,5.08,4.21,2.88,0.67,1.95,2.42,1.79,6.54,4.58,4.28,2.6,2.13,6.09,3.85,1.88,0.59,6.99,1.71,2.09,3.7,2.42,3.41,3.92,7.33,4.54,1.54,3.15,2.75,5,3.38,1.75,0.66,2.22,7.25,0.35,1.5,4.1,2.94,3.31,5.21,1.38,1.59,3.53,3.06,7.93,,,,,,,,,
