SCOTNEY CASTLE,,,,,,,,,,,,
Grid ref,TQ685354,Long,0.404847,Lat,51.093158,,,,,,,
Station no,325,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.49,2.97,0.97,1.20,3.78,5.50,2.93,3.58,3.05,1.76,,
February,6.75,0.86,1.19,1.76,2.01,0.43,5.27,2.48,0.07,1.03,,
March,3.76,3.08,0.22,2.99,1.79,0.91,1.35,1.67,1.82,1.33,,
April,1.90,1.76,2.35,0.25,0.25,0.95,0.25,1.43,2.28,0.88,,
May,2.76,1.26,1.31,2.44,4.32,0.43,1.27,1.85,0.45,1.67,,
June,1.46,0.65,1.99,3.51,2.21,2.47,1.30,3.81,0.62,1.49,,
July,1.98,0.65,3.18,3.24,1.43,4.05,3.57,2.61,1.99,2.88,,
August,4.26,3.74,1.55,3.07,0.90,3.79,2.73,4.58,0.77,3.98,,
September,3.47,3.54,4.33,2.43,2.80,3.19,2.07,3.08,0.10,2.39,,
October,1.50,4.10,2.94,3.31,5.21,1.38,1.59,3.53,3.06,7.93,,
November,5.60,4.60,2.01,7.06,1.39,1.04,3.33,1.39,4.75,6.90,,
December,3.47,3.21,0.84,1.96,2.95,5.46,2.41,4.44,6.61,4.03,,
Total,40.40,30.42,22.88,33.22,29.04,29.60,28.07,34.45,25.57,36.27,,
Calc annual,40.40,30.42,22.88,33.22,29.04,29.60,28.07,34.45,25.57,36.27,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
