GOUDHURST SCOTNEY CASTLE,,,,,,,,,,,,
Grid ref,TQ685354,Long,0.404847,Lat,51.093158,,,,,,,
Station no,325,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.59,0.39,1.09,2.14,4.30,1.29,4.38,1.59,1.83,0.95,,
February,5.80,1.20,1.39,1.64,3.42,0.75,2.17,1.74,0.81,0.36,,
March,1.05,2.13,1.44,2.77,1.19,3.94,1.51,0.82,2.67,4.03,,
April,1.09,2.14,0.62,1.80,0.80,2.22,1.05,3.30,1.44,1.58,,
May,0.45,-999.00,2.16,3.95,1.65,1.00,2.36,3.64,1.96,1.17,,
June,2.46,1.93,2.01,3.89,1.60,3.87,1.91,1.51,1.58,2.11,,
July,1.21,2.26,1.70,5.57,1.47,0.50,0.35,1.32,3.16,3.08,,
August,1.36,1.31,2.11,3.00,0.68,2.40,1.00,2.20,4.77,2.28,,
September,1.82,0.90,2.02,2.23,1.33,2.18,1.66,1.00,1.70,3.53,,
October,2.52,0.97,1.95,5.95,2.26,0.88,4.52,5.47,1.08,7.26,,
November,2.54,1.71,2.16,2.24,1.46,5.17,6.35,2.23,1.03,0.97,,
December,3.00,4.68,2.08,1.69,3.61,0.93,1.46,3.07,3.33,4.70,,
Total,25.89,21.12,20.73,36.87,23.77,25.13,28.72,27.89,25.36,32.02,,
Calc annual,25.89,19.62,20.73,36.87,23.77,25.13,28.72,27.89,25.36,32.02,,
Difference,0.00,1.50,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
