MASHAM MOOR - ARNAGILL BECK E,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE162756,Long,-1.753,Lat,54.176,Elevation,1150,ft,,,,,,,,,,,,,,,,,,,
Station no,3407/6,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,1.70,5.95,5.60,6.58,8.00,2.63,5.92,7.83,7.05,3.72,4.55,4.92,4.25,9.90,1.32,2.41,6.26,4.65,1.12,3.35,3.59,4.12,5.25,4.75,4.20,6.32
February,,6.30,4.40,6.40,1.21,3.35,2.23,7.43,1.59,2.82,1.78,4.53,3.23,6.50,2.78,2.75,8.57,4.65,1.56,2.53,4.91,3.19,2.79,3.60,6.27,0.26,4.56
March,,1.20,2.60,4.15,0.58,3.08,2.38,3.55,3.38,2.35,0.30,2.05,1.68,7.62,2.31,1.72,1.83,5.04,2.84,0.53,3.52,2.83,1.59,2.50,2.82,2.80,3.24
April,,3.40,1.75,3.90,0.12,1.73,2.56,2.88,1.80,1.78,2.62,1.20,2.30,6.54,2.52,2.83,2.81,2.42,1.88,3.20,0.71,1.00,2.24,0.45,0.98,4.64,2.30
May,,0.80,2.60,3.45,3.14,1.68,1.80,2.21,3.02,3.42,1.29,2.00,3.59,2.82,1.24,1.35,1.69,5.25,1.38,2.28,5.32,2.93,0.80,1.53,6.21,1.50,1.74
June,,3.50,5.56,1.75,4.96,2.78,0.44,0.28,1.28,2.42,1.95,4.30,2.65,4.00,3.38,0.61,1.28,2.90,1.80,3.59,2.39,2.85,3.47,1.50,3.84,1.35,1.24
July,,0.80,3.60,2.65,3.55,4.62,4.65,2.08,3.58,2.20,2.73,2.30,3.10,1.94,0.87,2.34,2.80,2.32,1.30,4.18,2.62,0.81,5.79,3.29,3.82,1.57,5.48
August,,1.95,2.70,1.85,4.28,2.69,0.62,2.78,3.49,4.12,2.10,2.40,6.88,0.98,4.33,2.89,5.06,5.38,4.45,3.83,7.08,1.24,8.18,6.93,4.55,0.81,3.89
September,,6.60,3.00,1.60,2.38,1.60,2.32,0.25,2.55,5.36,6.72,2.55,6.67,2.36,2.42,1.87,5.58,3.00,4.82,3.40,3.87,1.75,5.08,4.58,3.07,0.22,3.76
October,,7.30,2.80,3.10,9.60,4.43,4.94,4.32,3.70,2.58,5.00,6.80,1.95,1.64,1.08,4.94,1.55,1.63,5.38,2.74,7.54,2.27,2.20,4.54,3.37,4.70,8.53
November,3.20,7.30,4.15,2.28,6.42,5.88,6.34,4.22,1.53,1.74,7.97,1.12,8.80,4.32,1.38,5.82,5.07,10.20,2.30,2.90,7.63,3.14,0.86,2.50,1.13,4.92,4.13
December,8.00,3.00,5.20,4.85,5.54,2.53,3.16,2.38,4.32,2.23,3.35,2.65,3.55,3.22,4.58,6.53,1.82,5.49,2.85,2.38,4.75,5.74,6.02,,5.30,7.40,4.20
Total,,43.85,44.31,41.58,48.36,42.37,34.07,38.30,38.07,38.07,39.53,36.45,49.32,46.19,36.79,34.97,40.47,54.54,35.21,32.68,53.69,31.34,43.14,,46.11,34.37,49.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/281,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/140,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_20_pt1/232,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The readings for February and March 1947 are estimated for snow and have been retained.,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The reading for December 1957 is an estimate and has been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The 1946 total has been increased by 1.00 compared to the sheet figure to match the sum of the months.,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1984 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,,,
