REIGATE-WRAY-PARK-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ262510,Long,-0.1933636,Lat,51.244224,Elevation,330,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,2.98,4.54,0.91,4.55,1.74,1.55,3.65,4.06,3.59,3.2,3.52,1.71,3.06,3.41,3.92,2.91,4.64,1.7,3.76,2.33,3.1,2.39,2.37,1.38,5.71,5.78,3.61,5.71,2.6,2.48,3.3,6.22,2.44,2.5,3.17,2.4,4.58,1.35,1.21,3.8,2.44,1.67,1.6,3.61,4.66,2.44,3.06,3.45,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,2.59,1.29,5.02,5.04,5.07,1.24,1.69,2.67,0.69,0.16,2.67,4.05,0.83,4.5,2.35,4.83,2.03,0.5,0.94,2.22,0.54,2.79,0.34,3.82,1.98,4.79,0.89,1.67,2.59,3.24,0.86,1.78,0.99,2.14,2.65,1.6,2.32,1.42,5.39,6.78,0.9,1.54,2.32,1.76,0.39,4.4,2.58,0.11,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,4.78,2.72,5.11,0.71,5.33,2.12,0.9,4.41,1.93,1.58,2.58,1.97,1.86,0.76,0.39,4.04,2.34,0.02,2.07,0.34,1.48,3.93,2.66,0.63,1.79,3.64,0.37,1.66,3.28,3.75,1.93,0.45,0.14,1.42,1.56,6.23,0.88,1.25,1.58,3.73,3.39,0.42,2.61,1.51,0.91,1.5,1.9,2.27,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,0.11,3.48,1.19,1.4,1.43,3,4.1,3.8,3.43,1.25,3.64,2.33,3.72,3.51,4.45,2.26,2.08,1.05,1.83,5.02,2.37,0.69,2.65,3.62,2.02,3.46,0.11,2.99,2.54,1.52,1.68,1.16,1.89,1.35,2.87,2.22,1.91,2.02,3.46,3.25,1.67,2.53,0.44,0.37,2.08,0.24,1.05,2.68,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,1.42,2.21,1.34,2.99,3.03,1.65,1.47,0.16,1.04,1.54,0.85,2.93,3.81,2.68,2.06,1.24,2.04,2.51,2.77,3.12,4.43,2.29,0.58,1.97,0.55,2.41,1.91,1.58,1.71,1.95,3.58,2.82,0.54,1.94,2.7,1.74,1.69,2.13,1.6,2.67,1.67,1.84,2.58,4.04,0.29,1.46,2.45,0.87,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,4.08,0.5,0.71,1.03,2.39,1.68,0.78,0.87,1.51,0.09,1.57,0.45,3.07,0.22,4.51,5.02,2.76,1.53,0.48,1.56,1.68,1.81,0.82,4.9,3.61,1.95,0.65,1.36,0.27,2.56,0.11,2.37,1.6,2.12,2.74,2.59,2.91,0.73,1.75,1.29,1.74,1.88,5.12,2.05,3.08,1.08,3.72,1.92,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,1.55,2.91,2.13,4.17,1.12,4.65,5.24,2.15,5.55,0.19,3.28,3.8,3.77,4.04,2.01,2.86,1.75,1.88,2.89,2.99,2.43,1.7,2.2,0.83,4.28,1.37,2.09,2.53,2.53,3.24,2.2,1.86,2.54,3.2,3.27,1.11,1.48,0.94,3.07,2.59,0.78,3.88,3.47,1.83,4.08,4.09,1.75,0.89,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,6.55,2.32,1.05,1.82,3.66,6.19,1.25,2.54,1.66,1.42,2.1,2.34,3.81,2.71,2.46,5.36,2.67,2.31,3.37,5.05,0.74,0.85,2.04,3.97,0.59,1.5,2.42,3.03,0.09,4.37,3.07,1.26,2.5,1.9,5,0.43,4.51,1.25,2.53,4.64,2.97,1.73,2.98,1.32,2.79,2.79,3.22,1.13,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,3.5,1.88,1.14,2.79,1.86,2.05,5.52,1.19,3.48,1.03,1.87,1.82,3.46,2.97,1.01,5.79,0.73,0.15,3.99,2.09,2.04,2.83,1.79,4.28,2.06,1.99,2.59,2.03,1.82,0.36,2.46,1.86,2.41,2.25,3.52,1.34,1.73,0.53,3.36,3.14,2.66,3.54,2.08,1.92,2.91,2.79,6.56,0.13,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,3.41,4.54,1.73,2.53,5.47,3.85,1.67,0.79,1.09,1.07,1.05,7.06,3.84,3.84,2.42,2.36,6.08,3.71,1.72,0.62,6.82,2.33,2.46,4.08,2.05,3.32,3.46,6.71,3.35,1.44,4.1,3.7,4.51,4.59,1.06,0.27,2.17,7.26,0.25,1.07,3.43,4.17,2.56,4.67,1.28,1.92,3.6,3.21,6.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,3.04,3.04,4.51,3.01,6.23,1.76,2.51,2.1,2.05,1.76,2.12,1.99,3.63,3.3,6.53,3.22,2.88,7.35,5.05,3.64,1.41,1.04,3.17,5.92,4.68,2.11,4.29,5.58,8.35,3.53,1.88,2.11,5.24,0.3,5.23,1.23,2.35,2.82,6.95,7.16,3.45,1.79,5.77,1.4,0.96,2.97,2.33,3.31,5.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,4,1.7,8.8,6.6,3.1,2.84,2.79,4.91,2.92,1.98,4.68,3.19,4.18,3.38,0.54,5.05,3.62,7.93,2.4,0.85,0.67,0.61,8.08,4.26,3.72,4.22,4.01,1.85,1.83,2.79,3.8,2.14,2.51,3.77,3.25,2.81,4.27,1.67,2.16,3.07,2.86,0.67,1.99,2.86,4.19,2.32,3.78,5.34,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,38.01,31.13,33.64,36.64,40.43,32.58,31.57,29.65,28.94,15.27,29.93,33.64,39.04,35.32,32.65,44.94,33.62,30.64,31.27,29.83,27.71,23.26,29.16,39.66,33.04,36.54,26.4,36.7,30.96,31.23,28.97,27.73,27.31,27.48,37.02,23.97,30.8,23.37,33.31,43.19,27.96,25.66,33.52,27.34,27.62,28,36,25.31,36.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
