DUNDEE (CLATTO RESERVOIR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO368344,Long,-3.028161,Lat,56.497418,Elevation,495,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5593/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,4.42,3.96,2.07,3.25,4.23,4.09,1.53,4.19,2.28,3.01,4.58,1.54,1.53,3.41,1.88,0.68,1.54,1.48,2.88,3.24,1.82,0.96,4.44
February,,,,,,,,0.74,2.37,1.83,5.12,2,1.5,0.71,2.69,1.33,3.97,2.96,1.57,2.09,2.44,0.57,0.79,2.94,1.88,1.26,3.81,2.9,0.47,2.55
March,,,,,,,,0.59,2.55,2.8,2.28,1.81,0.71,0.57,0.98,2.24,4.31,0.89,1.5,1.85,2.14,2.34,0.41,2.51,1.57,1.8,2.46,4.54,1.69,2.77
April,,,,,,,,0.04,1.42,2,1.77,1.68,1.33,2.84,1.39,0.36,2.44,1.36,1.5,1.18,1.54,1.07,1.65,0.86,0.97,0.97,1.01,1.66,2.77,2.52
May,,,,,,,,4.61,1.75,1.26,2.88,3.68,3.86,2.46,4.21,1.81,4.58,4.71,1.53,1.46,1.97,2.26,1.68,4.84,2.54,0.76,1.85,2.99,0.84,2.54
June,,,,,,,,3.34,1.39,0.46,0.96,1.25,3.32,2.59,2.69,3.99,3.23,4.28,1.24,1.61,2.16,2.54,1.14,2.29,1.32,2.82,1.09,5.43,2.39,2.86
July,,,,,,,,4.89,4.91,4.72,3.67,2.84,3.43,2.86,3.93,3.43,3.43,2.67,2.53,3.87,4.2,1.92,3.26,3.21,0.98,4.91,5.26,3.86,3.23,3.91
August,,,,,,,,1.72,1.72,1.16,3.01,2.86,5.11,2.03,2.87,5.78,0.27,6.88,2.85,4.17,3.76,3.09,2.07,3.32,0.47,5.06,4.18,3.29,0.76,4.33
September,,,,,,,1.51,2.93,1.75,2.05,1.18,3.19,2.4,2.54,3.41,4.09,2.99,2.45,1.75,5.69,2.15,1.19,2.51,3.06,1.38,4.84,1.51,2.67,0.83,1.81
October,,,,,,,3.11,4.25,4.3,4.75,4.43,2.08,3.69,4.01,5.1,0.41,2.21,3.31,3.92,1.09,0.59,2.14,1.2,6.62,1.94,1.42,1.97,1.92,2.27,7.37
November,,,,,,,0.6,3.79,5.37,5.61,3.97,0.51,1.28,3.94,1.65,6.06,2.06,1.27,3.41,3.27,6.93,1.9,2.36,4.83,2.01,0.79,1.73,0.9,5.1,3.6
December,,,,,,,3.25,3.45,2.03,1.47,1.35,2.67,1.42,2.42,4.77,2.57,1.57,3.84,2.28,1.3,2.27,2.09,3.41,3.49,5.81,3.6,4.85,4.42,6.49,2.41
Total,,,,,,,,34.77,33.52,30.18,33.87,28.8,32.14,28.5,37.88,34.35,34.07,39.2,25.62,29.11,33.56,22.99,21.16,39.51,22.35,31.11,32.96,36.4,27.8,41.11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Comment Leak 18/0554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958 Comment 26/11/58 Gauge leaking badly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959 Comment 23/02/59 New Gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Printed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958 Printed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959-60 Printed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,15051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd stn,858786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
