"DUNDEE (CLATTO RES.)",,,,,,,,,,,,
Grid ref,NO368344,Long,-3.028161,Lat,56.497418,,,,,,,
Station no,5593/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.41,1.88,0.68,1.54,1.48,2.88,3.24,1.82,0.96,4.44,,
February,2.44,0.57,0.79,2.94,1.88,1.26,3.81,2.90,0.47,2.55,,
March,2.14,2.34,0.41,2.51,1.57,1.80,2.46,4.54,1.69,2.77,,
April,1.54,1.07,1.65,0.86,0.97,0.97,1.01,1.66,2.77,2.52,,
May,1.97,2.26,1.68,4.84,2.54,0.76,1.85,2.99,0.84,2.54,,
June,2.16,2.54,1.14,2.29,1.32,2.82,1.09,5.43,2.39,2.86,,
July,4.20,1.92,3.26,3.21,0.98,4.91,5.26,3.86,3.23,3.91,,
August,3.76,3.09,2.07,3.32,0.47,5.06,4.18,3.29,0.76,4.33,,
September,2.15,1.19,2.51,3.06,1.38,4.84,1.51,2.67,0.83,1.81,,
October,0.59,2.14,1.20,6.62,1.94,1.42,1.97,1.92,2.27,7.37,,
November,6.93,1.90,2.36,4.83,2.01,0.79,1.73,0.90,5.10,3.60,,
December,2.27,2.09,3.41,3.49,5.81,3.60,4.85,4.42,6.49,2.41,,
Total,33.56,22.99,21.16,39.51,22.35,31.11,32.96,36.40,27.80,41.11,,
Calc annual,33.56,22.99,21.16,39.51,22.35,31.11,32.96,36.40,27.80,41.11,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
