"KIRMOND",,,,,,,,,,,,
Grid ref,TF186926,Long,-0.216962,Lat,53.416881,,,,,,,
Station no,RR3025,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.90,1.55,1.17,,
February,,,,,,,,1.70,2.20,1.78,,
March,,,,,,,,1.43,2.73,3.60,,
April,,,,,,,,2.53,3.89,2.12,,
May,,,,,,,,4.03,1.77,0.73,,
June,,,,,,,,3.51,1.34,3.95,,
July,,,,,,,,1.40,3.99,5.82,,
August,,,,,,,2.49,2.11,1.91,5.73,,
September,,,,,,,0.90,0.80,2.77,2.18,,
October,,,,,,,5.42,5.03,1.21,3.84,,
November,,,,,,,4.30,2.61,1.76,0.69,,
December,,,,,,,2.20,2.68,1.37,4.42,,
Total,,,,,,,,28.73,26.49,36.03,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,15.31,28.73,26.49,36.03,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,,
