SABDEN (WHINS HOUSE),,,,,,,,,,,,,,,,,,,,,
Grid ref,SD772374,Long,-2.3476266,Lat,53.832858,Elevation,500,ft,,,,,,,,,,,,,
Station no,2982,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,3.27,3.28,4.27,4.82,10.7,1.99,6.13,5.82,5.18,3.59,3.79,,,,,,
February,,,,,1.41,6.38,4.6,1.78,5.74,0.96,0.55,5.3,0.31,4.68,0.39,,,,,,
March,,,,,1.47,1.61,2.39,3.76,2.69,1.51,2.71,0.76,2.92,2.44,2.29,,,,,,
April,,,,,1.83,2.64,1.77,3.64,1.44,1.35,2.81,3.1,3.48,1.7,3.14,,,,,,
May,,,,,5.69,4.21,3.88,1.55,1.11,2.88,2.3,2.22,4.39,2.25,3.88,,,,,,
June,,,,,3.02,0.16,2.43,3.48,5.87,2.16,4.58,6.77,1.38,1.79,2.59,,,,,,
July,,,,,4.24,2.62,2.99,4.74,2.48,4.26,5.2,4.03,4.93,3.02,2.49,,,,,,
August,,,,,7.1,5.49,5.26,7.34,7.79,6.64,6.81,5.35,1.65,2.41,5,,,,,,
September,,,,,4.69,3.83,4.81,8.02,1.46,2.45,3.77,3.4,7.6,1.5,3.81,,,,,,
October,,,,,4.3,5.07,4.65,4.4,5.61,6.09,6.63,3.2,7.21,4.6,5.95,,,,,,
November,,,,,3.72,2.27,6.36,4.84,6.47,7.82,6.28,6.3,3.01,2.07,2.06,,,,,,
December,,,,,4.83,4.34,2.3,1.46,2.89,9.05,3.68,2.62,1.95,0.81,5.52,,,,,,
Total,,,,,45.57,41.9,45.71,49.83,54.25,47.16,51.45,48.87,44.01,30.86,40.91,,,,,,
