BOURTON-(COATEMEAD),,,,,,,,,,,,,,,,,,,,,
Grid ref,ST779307,Long,-2.3168,Lat,51.07596,Elevation,350,ft,,,,,,,,,,,,,
Station no,1632,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,4.2,2.69,,2.29,2.64,0.89,3.45,,,,
February,,,,,,,,,,,0.88,2.6,,3.95,0.08,3.52,2.59,,,,
March,,,,,,,,,,,2,0.84,,2.96,2.7,1.04,3.99,,,,
April,,,,,,,,,,,2.21,2.65,,1.59,2.25,4.13,1.78,,,,
May,,,,,,,,,,,2.05,3,,2.67,0.94,1.33,0.67,,,,
June,,,,,,,,,,,0.44,3.57,,2.66,1.66,3.76,2.48,,,,
July,,,,,,,,,,,2.47,5.01,,2.2,1.02,0.47,7.02,,,,
August,,,,,,,,,,,4.06,3.43,,1.3,2.81,2.13,0.55,,,,
September,,,,,,,,,,,4.04,,,2.37,2.84,3.84,3.49,,,,
October,,,,,,,,,,,4.77,0.61,,2.27,2.64,4.66,2.5,,,,
November,,,,,,,,,,,4.89,3.91,,0.8,1.6,6.77,3.46,,,,
December,,,,,,,,,,,3.79,,,1.09,8.4,4.37,2.35,,,,
Total,,,,,,,,,,,35.8,,,26.15,29.58,36.91,34.33,,,,
,,,,,,,,,,,,,,,,,,,,,
Cotemead Bourton,,,,,,,,,,,,,,,,,,,,,
The given elevation of 300ft is too low for this house which is a listed building,,,,,,,,,,,,,,,,,,,,,
1931 Sept Dec Estimated,,,,,,,,,,,,,,,,,,,,,
1938 Station terminated owing to death of observer,,,,,,,,,,,,,,,,,,,,,
