DUMFRIES KELTON HOUSE,,,,,,,,,,
Grid ref,NX989716,Long,-3.5831466,Lat,55.028614,Elevation,100,ft,,
Station no,RR7315,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,3.95,3.15,6.83,6.47,,,,,,
February,-999,,2.48,1.12,,,,,,
March,-999,,3.77,4.23,,,,,,
April,-999,,-999,1.11,,,,,,
May,-999,,-999,0.62,,,,,,
June,1.55,2.15,5.54,1.52,,,,,,
July,1.1,5.1,4.22,5.19,,,,,,
August,1.65,2.83,3.64,5.98,,,,,,
September,3.97,2.17,4.69,2.55,,,,,,
October,6.59,3.99,3.81,6.1,,,,,,
November,1.93,3.19,5.96,2.37,,,,,,
December,1.84,4.43,6.46,1.49,,,,,,
Total,32.61,,52.75,38.75,,,,,,
,,,,,,,,,,
MISFILED under TYRain_1860-1869_07_pt1 page 32,,,,,,,,,,
