OVER-STRATTON,,,,,,,,,,
Grid ref,ST435149,Long,-2.80535,Lat,50.9308,Elevation,150,ft,,
Station no,2055/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,3.44
February,,,,,,,,,,4.11
March,,,,,,,,,,2.6
April,,,,,,,,,,1.9
May,,,,,,,,,,1.4
June,,,,,,,,,,1
July,,,,,,,,,,3.07
August,,,,,,,,,,4.72
September,,,,,,,,,,4.88
October,,,,,,,,,3.02,9.21
November,,,,,,,,,6.05,3.73
December,,,,,,,,,7.27,3.58
Total,,,,,,,,,,43.64
,,,,,,,,,,
Gauge read 0900 clock time,,,,,,,,,,
Gauge kept by company of cider makers with own orchards ,,,,,,,,,,
Exact location unknown so NGR taken from MIDAS,,,,,,,,,,
,,,,,,,,,,
SRC_ID 9088,,,,,,,,,,
1959-1970,,,,,,,,,,
