"WARRINGTON HOWLEY YARD",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2819,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,2.95,2.61,2.02,2.46,1.85,3.16,3.03,6.27,2.14,4.08,
February,,0.20,2.22,4.68,0.80,4.64,2.42,1.28,3.11,0.97,0.19,
March,,1.54,1.60,1.43,0.81,0.92,1.11,2.62,1.71,0.73,2.80,
April,,0.94,1.85,2.75,1.76,1.15,0.63,2.21,0.68,0.79,2.19,
May,,1.75,0.92,2.82,5.26,2.99,4.18,1.12,1.18,1.57,1.16,
June,,0.27,1.46,0.60,2.09,0.05,1.52,4.10,4.58,1.29,1.75,
July,,0.71,2.97,2.25,4.06,2.58,3.41,2.36,1.73,2.29,5.27,
August,,3.35,2.20,3.63,6.37,2.73,3.25,4.50,3.62,2.97,3.93,
September,,0.73,2.36,3.31,3.32,3.76,2.93,5.29,1.13,1.83,2.92,
October,,1.79,0.17,3.56,3.50,3.52,4.45,2.35,3.46,5.34,4.59,
November,,1.53,1.35,3.81,1.19,2.42,4.78,3.09,4.39,5.63,3.77,
December,,2.94,3.40,4.24,2.78,2.08,0.84,1.38,1.86,5.15,3.81,
Total,,-999.00,,35.10,34.40,28.69,32.68,33.33,33.72,30.70,36.46,
Calc annual,0.00,18.70,23.11,35.10,34.40,28.69,32.68,33.33,33.72,30.70,36.46,
Difference,NaN,-1017.70,NaN,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,
