"WARRINGTON (HOWLEY YARD) (HIGHWAYS YARD)",,,,,,,,,,,,
Grid ref,SJ603881,Long,-2.598381,Lat,53.388238,,,,,,,
Station no,2819,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.77,3.37,1.24,2.76,2.50,4.52,2.00,2.50,2.56,4.23,,
February,1.85,0.92,1.27,3.21,2.58,0.47,1.90,5.04,0.24,1.48,,
March,4.35,1.81,1.57,2.01,1.45,0.98,2.53,1.42,1.42,1.27,,
April,2.11,2.69,2.86,0.69,1.73,2.77,0.42,0.63,2.93,1.73,,
May,3.15,2.22,1.62,2.46,2.96,0.94,1.21,3.71,2.10,2.18,,
June,0.69,1.92,1.65,3.51,3.56,2.23,1.88,4.52,2.49,1.99,,
July,2.82,1.66,5.96,4.25,0.68,5.57,3.69,4.93,3.04,3.29,,
August,3.86,1.44,3.29,4.20,0.82,10.01,5.19,2.32,0.39,4.51,,
September,2.67,3.09,2.93,3.21,2.71,3.17,5.60,3.27,0.17,2.70,,
October,0.98,3.78,1.59,5.14,1.98,2.23,3.13,2.85,2.71,3.74,,
November,7.70,2.44,3.07,4.84,1.57,1.29,1.37,1.39,4.54,4.61,,
December,5.13,2.80,1.10,3.95,4.32,2.84,2.93,3.65,5.10,3.79,,
Total,38.08,28.14,28.15,40.23,26.86,37.02,31.85,36.23,27.69,35.52,,
Calc annual,38.08,28.14,28.15,40.23,26.86,37.02,31.85,36.23,27.69,35.52,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
