CHIPPING-SODBURY-STANSHAWES-COURT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST715819,Long,-2.412287,Lat,51.535278,Elevation,280,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,3.47,3.4,4.41,2.36,4.64,1.55,4.47,0.87,1.43,1.74,3.91,4.47,2.36,4.53,2.46,0.98,0.87,3.55,3.39,1.27,2.23,2.54,3.76,0.5,1.86,0.55,4.68,4.02,1.72,1.64,3.62,3.62,0.76,4.58,1.39,1.98,1.44,2.15,0.94,4.3,5.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,1.09,2.33,2.16,4.72,2.55,1.62,3.99,4.6,3.77,2.46,3.78,1.62,3.44,0.76,0.6,2.17,1.45,0.6,0.02,1.64,4.15,3.17,0.09,0.5,3.16,1.52,3.72,5.39,0.78,1.07,1.52,3.92,0.59,2.2,1.85,1.68,0.66,4.39,2.28,2.42,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,3.06,1.63,1.3,4.11,2.83,2.49,1.62,2.48,2.04,1.62,1.12,2.49,1.27,2.67,2.52,4.04,4.37,1.13,2.74,0.77,0.47,2.46,2.82,3.12,3.83,0.6,0.83,1.19,2.37,1.64,4.28,1.64,4.37,2.12,0.78,2.63,3.74,0.69,2.51,4.63,3.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,0.73,1.92,2.27,3.22,2.99,3.43,2.51,2.69,0.47,3.87,0.9,1.25,2.02,2.06,2.15,2.05,4.23,1.01,1.17,1.09,0.12,3.22,2.64,0.96,2.74,2.35,2.81,1.32,2.78,1.54,2.68,1.86,2.98,1.06,3.28,2.94,3.19,2.38,1.18,0.15,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,2.51,0.32,2.29,0.42,2.97,7.03,3.08,1,1.53,2.32,1.2,1.56,2.37,4.94,2.38,1.36,2.24,2.26,3.63,1.14,1.42,2.12,0.24,0.28,1.64,2.92,2.04,2.37,0.95,2,3.43,2.42,0.07,2.13,3,1.4,1.85,1.7,0.95,2.07,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,1.24,0.86,4.17,1.03,0.73,2.2,4.89,2.14,3.45,3.49,3.67,3.14,1.66,1.19,1.36,3.49,0.85,2.85,1.47,1.99,1.15,2.2,0.47,2.18,3.33,1.78,1.91,2.51,1.93,3.28,4.48,1.33,4.74,3.3,3.2,0.69,3.4,4.85,2.82,4.9,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,3.74,1.13,6.16,1.44,3.81,4.08,3.8,4.68,2.76,5.84,4.13,3.41,1.07,3.53,1.21,5.59,3.77,3.35,4.88,3.39,3.45,3.07,3.66,1.23,2.39,0.9,0.8,1.12,2.51,1.01,3.18,3.47,0.67,1.19,2.94,2.55,2.44,2.08,0.08,4.03,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,2.7,3.82,1.05,3.58,6.58,4.95,7.51,0.69,6.01,3.88,1.78,2.42,2.07,1.93,1.75,2.03,2.97,2.43,6.44,3.32,2.48,2.93,3.65,2.96,6.51,2.92,1.68,3.03,2.72,4.28,3.4,2.69,3.52,1.69,2.41,4.42,2.44,4.54,1.43,6.54,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,2.11,6.66,4.44,6.17,3.03,2.06,3.18,3.21,1.74,3.43,4.19,2.01,4.04,3.19,3.32,1.24,1.97,1.9,2.36,2.99,1.93,3.43,1.07,7.41,3.64,1.05,2.9,0.72,2.19,1.69,2.68,1.52,1.04,0.93,0.61,2.24,3.95,0.26,1.47,0.61,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,2.98,2.94,7.21,2.6,2.45,4.21,1.79,6.06,2.06,7.11,2.98,1.19,3.54,4.45,2.73,0.86,2.6,1.42,8.07,3.12,5.27,4.09,2.85,4.32,1.3,4.72,3.15,3.94,1.29,1.86,7.74,1.03,1.71,5.72,5.39,1.87,5.85,4.7,2.75,4.12,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
