ELGIN (KIRKHILL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ2499062829,Long,-3.25841,Lat,57.6491,Elevation,35,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,1.84,2.73,0.96,1.57,2.91,2.14,1.13,1.08,2.26,3.6,2.1,2.13,3.79,0.68,2.03,2.6,1.09,2.41,3.33,0.61,1.33,1.68,2.4,1.85,2.21,1.96,1.41,1.31,0.66,2.71,2.69,3.22,2.98,2.81
February,,,,,,,,1.3,1.08,0.59,0.78,2.12,0.56,3.21,1.2,2.12,1.03,2.37,1.66,1.43,0.38,3.08,1.4,1.98,1.4,1.56,1.74,0.8,1.14,1.08,1.98,2.7,1.19,1.51,1.08,2.18,1.74,1.19,2.88,0.3,1.26
March,,,,,,,,1.13,1.28,0.35,0.85,1.06,2.49,0.62,1.74,1.81,0.67,2.22,1.14,1.85,2.51,1.83,0.41,1.16,1.04,0.61,1.07,1.85,0.61,2.31,1.98,1.97,1.98,0.52,1.29,1.43,0.69,2.79,1.24,1,1.24
April,,,,,,,,2.59,0.83,1.69,1.29,1.93,2.62,2.11,3.24,2.63,0.63,0.45,0.42,1.37,1.57,1.4,0.72,1.65,1.22,0.92,1.25,1.2,1.78,1.26,3.01,2.69,0.94,2.31,0.7,1.11,1.85,0.71,1.46,1.85,1.87
May,,,,,,,1.85,3.01,1.36,1.37,1.1,2.56,2.03,0.76,2.37,1.67,0.96,1.54,2.62,0.7,1.46,2.86,1.86,2.81,2.1,3.09,1.7,1.18,1.47,2.86,1.15,0.93,1.41,1.89,5.26,3.65,0.9,1.03,3.03,0.51,0.56
June,,,,,,,2.39,3.62,3.27,1.88,1.29,3.04,0.22,1.9,1.56,1.98,1.1,1.67,3.74,1.64,1.1,0.28,1.15,1.53,2.53,1.83,1.51,3.68,4.65,1.42,1.99,2.45,2,3,2.77,1.66,2.56,2.4,1.81,1.43,3
July,,,,,,,1.7,1.64,1.86,2.08,3.26,4.41,2.46,3.97,4.74,2.21,4.7,3.01,4.23,5.14,8.77,3.89,3.3,1.47,1.73,3.46,5.51,2.03,2.7,1.67,1.94,3.53,2.35,3.18,3.02,0.88,5.82,4.52,4.9,2.69,2.79
August,,,,,,,1.89,1.77,2.54,3.84,4.18,2.17,1.72,1.81,3.03,2.95,2.03,1.65,2.09,1.46,1.75,5.07,2.88,3.87,1.95,4.86,3.18,0.29,6.24,5.78,1.79,3.76,3.25,2,2.69,1.86,3.72,4.81,3.95,1.34,7.37
September,,,,,,,2.38,6.62,3.12,1.63,4.61,1.46,3.26,1.05,1.24,3.71,2.66,1.2,3.83,1.54,2.28,1.24,3.02,3.22,4.46,2.37,2.82,3.34,2.2,2.46,4.97,0.57,3.62,2.64,1.88,1.93,2.2,1.74,1.22,0.89,2.21
October,,,,,,,3.24,4.1,1.33,3.59,4.23,2.87,6.31,4.76,4.04,4.22,2.71,2.32,3.08,3.21,2.74,4.29,5.03,2.41,2.46,4.34,0.31,1.39,3.11,1.99,0.87,1.04,1.74,0.48,5.11,4.84,2.85,1.4,1.8,3.34,4.27
November,,,,,,,2.23,2.92,3.47,1.71,4.8,2.02,3.08,1.7,1.69,2.99,1.28,1.63,2.35,2.39,5.2,2.29,1.3,2.8,3.05,0.54,2.67,4.42,1.61,2.11,3.6,3.93,3.12,2.02,2.45,0.92,1.95,2.78,1.1,2.83,1.83
December,,,,,,,1.79,1,2.43,2.89,1.41,1.83,1.57,0.54,1.61,2.61,1.42,2.36,1.19,2.26,2.14,1.37,1.75,0.48,2.5,4.03,1.47,1.68,1.69,3.17,1.63,2.12,1.79,2.88,3.95,4.33,2.54,3.37,2.15,1.5,0.95
Total,,,,,,,,31.54,25.3,22.58,29.37,28.38,28.46,23.56,27.54,31.16,22.79,22.52,28.48,26.78,30.58,29.63,25.42,24.47,26.85,30.94,23.84,23.19,28.88,28.51,26.76,27.9,25.35,23.84,31.51,25.45,29.53,29.43,28.76,20.66,30.16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location from ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas 14758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940s only no of part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
est. For snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
