"ELGIN (KIRKHILL)",,,,,,,,,,,,
Grid ref,NJ211624,Long,-3.323419,Lat,57.644588,,,,,,,
Station no,5678,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.21,1.96,1.41,1.31,0.66,2.71,2.69,3.22,2.98,2.81,,
February,2.70,1.19,1.51,1.08,2.18,1.74,1.19,2.88,0.30,1.26,,
March,1.97,1.98,0.52,1.29,1.43,0.69,2.79,1.24,1.00,1.24,,
April,2.69,0.94,2.31,0.70,1.11,1.85,0.71,1.46,1.85,1.87,,
May,0.93,1.41,1.89,5.26,3.65,0.90,1.03,3.03,0.51,0.56,,
June,2.45,2.00,3.00,2.77,1.66,2.56,2.40,1.81,1.43,3.00,,
July,3.53,2.35,3.18,3.02,0.88,5.82,4.52,4.90,2.69,2.79,,
August,3.76,3.25,2.00,2.69,1.86,3.72,4.81,3.95,1.34,7.37,,
September,0.57,3.62,2.64,1.88,1.93,2.20,1.74,1.22,0.89,2.21,,
October,1.04,1.74,0.48,5.11,4.84,2.85,1.40,1.80,3.34,4.27,,
November,3.93,3.12,2.02,2.45,0.92,1.95,2.78,1.10,2.83,1.83,,
December,2.12,1.79,2.88,3.95,4.33,2.54,3.37,2.15,1.50,0.95,,
Total,27.90,25.35,23.84,31.51,25.45,29.53,29.43,28.76,20.66,30.16,,
Calc annual,27.90,25.35,23.84,31.51,25.45,29.53,29.43,28.76,20.66,30.16,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
