EYTON OLD HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO469617,Long,-2.7792417,Lat,52.250901,Elevation,310,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,0.61,2.32,,,,,,,,1.29,3.55,2.31,3.46,3.24,4.9,1.07,5.37,2.53,3.05,,,,,,,,
February,,,,,2.3,3.73,,,,,,,,6.46,0.31,3.45,2.36,2.35,2.16,0.63,0.76,2.37,0.15,,,,,,,,
March,,,,,2.21,0.39,,,,,,,,1.12,1.2,0.66,0.53,2.66,2.69,0.19,2.25,0.62,1.77,,,,,,,,
April,,,,,0.85,0.88,,,,,,,,2.53,3.24,1.62,2.92,1.76,1.5,0.73,3.09,3.63,4.62,,,,,,,,
May,,,,,1.11,3.48,,,,,,,,1.2,5.27,4.36,3.13,1.38,1.09,2.4,2.51,4.85,6.49,,,,,,,,
June,,,,,1.68,1.22,,,,,,,,0.39,2.69,0.09,1.2,3.58,3.24,3.33,1.67,4.49,0.9,,,,,,,,
July,,,,,3.91,4.44,,,,,,,,3.58,3.99,2.42,1.92,1.98,1.33,1.73,3.04,3.21,5.04,,,,,,,,
August,,,,,2.44,2.51,,,,,,,,2.08,2.65,2.88,2.32,5.08,2.96,1.56,3.16,5,2.54,,,,,,,,
September,,,,,0.68,0.75,,,,,,,,1.6,4.28,3.9,1.22,4.04,1.59,1.36,3.77,1.94,,,,,,,,,
October,,,,,1.97,3.64,,,,,,,0.67,4.46,4.25,3.56,2.76,2.81,4.68,4.42,2.57,0.68,,,,,,,,,
November,,,,,2.96,2.03,,,,,,,1.21,1.76,2.78,2.25,6.3,2.84,3.21,7.54,3.2,5.97,,,,,,,,,
December,,,,,5.39,5.04,,,,,,,4.58,2.28,4.27,2.61,0.69,2.05,2.18,7.01,2.92,1.32,,,,,,,,,
Total,,,,,26.11,30.43,,,,,,,,28.75,38.48,30.11,28.81,33.77,31.53,31.97,34.31,36.61,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_14_pt1-page-221.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_14_pt1-page-106.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_13_pt1-page-234.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
