STEVENAGE-PIN-GREEN,,,,,,,,,,
Grid ref,TL250257,Long,-0.18398,Lat,51.915808,Elevation,452,ft,,
Station no,0968/5/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,2.28,3.71,1.06,2.37,2.88,2.21
February,,,,,1.88,0.71,2.57,2.14,0.05,2
March,,,,2.3,1.08,0.7,1.08,1.06,1.98,1.16
April,,,,0.24,0.45,1.03,0.24,1.05,1.96,0.43
May,,,1.59,2.3,4,0.34,0.94,1.91,0.88,0.94
June,,,2.22,2.89,2.49,4.05,1.84,6.38,1.03,1.92
July,,,3.34,2.71,0.19,2.44,3.75,3.28,3.38,2.81
August,,,1.61,3.34,1.03,4.97,2.48,2.28,1.4,3.51
September,,,1.56,1.53,1.54,2.2,2.96,3.22,0.11,3.75
October,,,2.84,1.81,2.94,1.79,2.62,2.32,1.82,5.52
November,,,1.43,4.49,1.54,1.05,2.21,2.03,2.09,3.82
December,,,0.44,1.75,1.86,3.55,1.76,2.75,4.04,3.73
Total,,,,,21.28,26.54,23.51,30.79,21.62,31.8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1955 Jan Feb estimated,,,,,,,,,,
