TONBRIDGE-THE-MANOR-HOUSE,,,,,,,,,,
Grid ref,TQ591472,Long,0.27593927,Lat,51.201862,Elevation,135,ft,,
Station no,RR8356,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,1.23,2.52,4.29,0.65,3.19,,,,
February,,1.04,1.76,0.84,3.61,4.14,,,,
March,,2.68,4.19,2.55,5.12,0.71,,,,
April,,2.27,0.13,3.14,1.36,1.23,,,,
May,,1.55,1.08,2.2,0.75,3.95,,,,
June,,2.14,2.94,0.53,0.62,0.35,,,,
July,,0.48,1.3,2.2,1.38,3.45,,,,
August,,0.63,5.58,1.36,1.05,2.34,,,,
September,,1.41,3.04,1.68,0.79,2.7,,,,
October,,4.55,3.18,4.93,1.69,2.03,,,,
November,,5.59,2.07,3.28,3.8,2.96,,,,
December,,5.68,2.83,1.11,7.04,6.23,,,,
Total,,29.25,30.62,28.11,27.86,33.28,,,,
