"SHEPTON MALLET (SEWAGE FARM)",,,,,,,,,,,,
Grid ref,ST601440,Long,-2.572371,Lat,51.193818,,,,,,,
Station no,2014,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.80,2.93,0.95,2.64,4.09,4.53,2.56,2.66,3.71,4.10,,
February,3.97,1.37,2.52,3.48,2.31,0.36,4.39,3.94,0.31,2.48,,
March,3.58,4.41,1.10,4.26,1.23,1.47,2.74,1.30,4.02,2.05,,
April,3.02,1.56,2.89,0.53,2.01,1.71,0.05,1.11,2.72,2.14,,
May,2.66,4.47,1.88,2.40,3.93,1.00,2.90,2.21,1.49,0.84,,
June,1.61,3.05,1.53,4.41,3.50,2.31,2.50,3.67,1.28,3.40,,
July,1.72,0.60,4.12,4.72,0.53,2.77,5.57,2.73,1.80,4.70,,
August,6.67,6.36,3.87,5.17,1.56,3.58,4.19,4.57,0.90,7.04,,
September,3.04,4.57,3.97,4.84,2.16,4.59,4.42,5.54,0.26,3.93,,
October,0.83,4.88,2.79,4.15,2.32,2.86,3.79,2.09,2.75,7.71,,
November,8.53,5.31,2.26,7.78,3.58,0.75,1.59,2.75,3.48,4.70,,
December,2.28,3.80,1.22,3.28,5.17,3.42,4.03,4.69,6.50,3.85,,
Total,43.71,43.31,29.10,47.66,32.39,29.35,38.73,37.26,29.22,46.94,,
Calc annual,43.71,43.31,29.10,47.66,32.39,29.35,38.73,37.26,29.22,46.94,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,,
