"SPILSBY EAST KEAL RECTORY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2562,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,1.60,1.81,2.88,1.28,1.85,1.45,2.65,1.28,3.11,1.65,1.61,
February,0.89,0.29,2.83,3.52,0.93,1.63,1.75,1.80,1.34,0.46,1.22,
March,1.54,0.66,1.73,1.95,0.50,1.21,0.41,2.07,1.23,0.28,1.57,
April,3.39,1.51,1.85,0.78,1.43,1.65,1.54,1.72,1.23,0.60,2.88,
May,2.40,1.62,0.47,1.85,2.42,3.65,2.65,1.17,1.30,0.94,1.75,
June,1.65,1.16,0.65,0.47,1.96,0.10,3.09,3.38,2.52,1.30,1.68,
July,2.89,0.41,4.25,2.89,2.15,0.62,1.54,2.45,1.11,1.76,3.72,
August,1.65,2.45,2.85,2.03,1.94,1.52,1.74,4.21,1.85,0.79,2.17,
September,1.98,0.51,2.48,2.81,2.16,2.68,0.77,3.60,0.41,0.52,3.97,
October,0.84,1.82,1.24,1.74,3.98,2.05,1.96,2.08,3.61,2.33,1.41,
November,0.58,1.36,0.91,2.34,1.71,3.06,2.31,2.60,2.07,3.19,2.82,
December,2.66,1.37,2.19,2.56,1.64,1.68,0.58,2.69,1.86,3.34,1.56,
Total,22.07,14.97,24.33,24.22,22.67,21.30,20.99,29.05,21.64,17.16,26.36,
Calc annual,22.07,14.97,24.33,24.22,22.67,21.30,20.99,29.05,21.64,17.16,26.36,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
