SPILSBY - EAST KEAL RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF375636,Long,0.055,Lat,53.152,Elevation,180,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944
January,0.88,1.22,0.84,1.66,1.63,2.60,2.90,1.65,2.43,0.84,2.23,1.66,2.72,1.60,1.81,2.88,1.28,1.85,1.45,2.65,1.28,3.11,1.65,1.61,2.50,1.06,1.42,1.48,2.37,2.89,3.64,2.23,3.74,1.63,1.91,2.71,4.80,2.44
February,0.96,1.28,0.51,2.20,1.15,1.09,0.65,0.71,2.06,2.97,0.99,1.11,2.58,0.89,0.29,2.83,3.52,0.93,1.63,1.75,1.80,1.34,0.46,1.22,2.19,0.86,2.01,0.93,2.07,2.23,2.44,0.83,0.42,2.15,2.50,1.33,0.54,2.70
March,1.59,1.68,3.14,0.50,1.76,1.97,1.87,2.58,1.19,2.68,1.13,0.56,2.35,1.54,0.66,1.73,1.95,0.50,1.21,0.41,2.07,1.23,0.28,1.57,0.66,1.64,2.62,1.79,0.37,0.92,2.89,0.17,2.23,1.61,2.94,1.33,0.48,0.42
April,1.95,2.63,1.88,2.41,1.19,0.16,1.67,0.90,0.37,1.60,1.95,1.54,1.88,3.39,1.51,1.85,0.78,1.43,1.65,1.54,1.72,1.23,0.60,2.88,2.62,3.00,1.08,1.80,2.99,1.62,2.89,0.28,2.33,1.21,0.52,0.64,1.10,2.01
May,2.89,2.18,0.95,2.47,0.81,2.60,2.14,1.08,1.23,2.18,1.70,2.57,0.68,2.40,1.62,0.47,1.85,2.42,3.65,2.65,1.17,1.30,0.94,1.75,1.72,3.66,1.54,0.87,0.39,0.92,4.00,2.06,1.27,0.98,1.81,3.44,2.18,3.06
June,2.18,1.73,5.18,1.62,3.53,3.10,0.64,2.23,0.25,2.36,1.40,0.87,0.83,1.65,1.16,0.65,0.47,1.96,0.10,3.09,3.38,2.52,1.30,1.68,2.59,0.47,3.29,0.96,2.05,3.27,1.46,0.98,2.60,0.66,0.30,1.22,2.47,2.18
July,1.64,3.01,4.29,2.73,0.24,4.32,0.80,1.02,5.25,1.78,1.01,2.71,2.65,2.89,0.41,4.25,2.89,2.15,0.62,1.54,2.45,1.11,1.76,3.72,4.96,3.72,1.46,1.05,0.56,4.60,1.80,2.95,3.63,6.00,4.50,3.32,1.39,2.46
August,1.60,2.85,3.51,2.68,2.92,6.02,0.54,1.17,3.58,2.39,5.20,1.65,3.12,1.65,2.45,2.85,2.03,1.94,1.52,1.74,4.21,1.85,0.79,2.17,4.35,1.84,0.62,2.04,1.96,1.32,0.88,3.61,1.09,0.92,4.06,1.58,2.20,2.90
September,0.54,1.62,1.09,0.67,2.17,1.88,2.50,0.74,0.54,1.03,1.09,4.06,2.02,1.98,0.51,2.48,2.81,2.16,2.68,0.77,3.60,0.41,0.52,3.97,2.17,2.22,1.61,1.59,3.03,1.49,1.20,2.74,1.27,1.10,0.69,1.25,2.06,4.36
October,5.46,0.91,2.81,1.90,2.53,1.81,3.51,2.11,1.73,1.89,2.68,1.38,2.41,0.84,1.82,1.24,1.74,3.98,2.05,1.96,2.08,3.61,2.33,1.41,0.86,3.44,3.12,1.64,3.05,2.27,1.26,2.74,4.26,2.65,2.56,2.16,0.82,3.06
November,1.93,1.01,0.71,2.90,2.65,2.65,1.80,2.25,3.12,2.68,1.61,1.60,2.28,0.58,1.36,0.91,2.34,1.71,3.06,2.31,2.60,2.07,3.19,2.82,1.92,1.71,2.30,1.86,3.75,2.42,1.97,2.11,4.39,3.65,2.99,2.35,3.06,4.07
December,2.79,1.59,4.07,3.38,3.48,3.18,0.60,4.02,4.92,3.12,1.22,3.19,3.56,2.66,1.37,2.19,2.56,1.64,1.68,0.58,2.69,1.86,3.34,1.56,1.26,0.73,0.64,3.56,2.42,1.18,2.33,4.17,2.70,1.64,0.53,1.72,0.77,1.22
Total,24.41,21.71,28.98,25.12,24.06,31.38,19.62,20.46,26.67,25.52,22.21,22.90,27.08,22.07,14.97,24.33,24.22,22.67,21.30,20.99,29.05,21.64,17.16,26.36,27.80,24.35,21.71,19.57,25.01,25.13,26.76,24.87,29.93,24.20,25.31,23.05,21.87,30.88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
